Kegiatan,Kategori,Keterangan,Tahun,Jumlah_LakiLaki,Jumlah_Perempuan
Bekerja,Angkatan Kerja,,2012,691496,372671
Pernah Bekerja,Angkatan Kerja,Pengangguran Terbuka,2012,37380,19729
Tidak Pernah Bekerja,Angkatan Kerja,Pengangguran Terbuka,2012,31650,18625
Sekolah,Bukan Angkatan Kerja,,2012,102179,9773
Mengurus Rumah tangga,Bukan Angkatan Kerja,,2012,4120,377420
Lainnya,Bukan Angkatan Kerja,,2012,71284,31187
