No,Nama Perusahaan,Alamat Perusahaan,Keterangan
1,PT. GRAHA LAYAR PRIMA / BLITZ,Jalan Sukajadi No. 137-139 Bandung PvJ,Bioskop
2,ANUGERAH RIZKI VISITAMA / ART MOVIE,Jalan Ibrahim Adjie / Kiaracondong No. 47 Block C-1 Bandung,Bioskop
3,"PT. KHARISMA MAJU ABADI / BSM 21 : 1,2,3,4,5",Jalan Jend. Gatot Subroto No. 289 Bandung,Bioskop
4,"PT. NUSANTARA SEJAHTERA RAYA / STUDIO : 1,2,3,4,5",Jalan Peta No. 241 Mall Festival Citylink Bandung,Bioskop
5,"PT. KHARISMA MAJU ABADI / BRAGA : 1,2,3",Jalan Braga No. 99-101 Braga Cilwalk Lt. 3 Bandung,Bioskop
6,"PT. NUSANTARA SEJAHTERA RAYA / STUDIO : 1,2,3,4,5,6,7,8,9,10",Jalan Cihampelas No. 160 Bandung,Bioskop
7,"PT. NUSANTARA SEJAHTERA RAYA / BIP : 1,2,3,4,6,7",Jalan Merdeka No. 56 Bandung,Bioskop
8,"PT. NUSANTARA SEJAHTERA RAYA / BTC : 1,2,3,4,5",Jalan Dr. Djunjunan No. 143 Bandung,Bioskop
9,PT. GRAHA LAYAR PRIMA Tbk / BLITZ MEGAPLEX,Jalan Kopo No. 599 IITC Kopo Bandung,Bioskop
