nama_kecamatan,jumlah_pus,jml_pus_kps_ksi,persentase_pus_kps_ks1,jml_pus_jkn_penerima_bantuan,persentase_pus_jkn_terima_bantuan,jml_pus_jkn_bukan_penerima_bantuan,persentase_pus_jkn_bukan_penerima_bantuan,jml_pus_jkn,persentase_pus_jkn
Sukasari,7768,1386,17.84,0,0.00,0,0.00,0,0.00
Coblong,13532,2971,21.96,0,0.00,0,0.00,0,0.00
Babakan Ciparay,21512,4205,19.55,0,0.00,0,0.00,0,0.00
Bojongloa Kaler,17490,7874,45.02,5915,33.82,7635,43.65,13550,77.47
Andir,13977,3706,26.51,0,0.00,0,0.00,0,0.00
Cicendo,11690,6176,52.83,0,0.00,0,0.00,0,0.00
Sukajadi,15572,4859,31.20,0,0.00,0,0.00,0,0.00
Cidadap,7370,2544,34.52,0,0.00,0,0.00,0,0.00
Bandung Wetan,5072,1327,26.16,0,0.00,0,0.00,0,0.00
Astana Anyar,9067,4289,47.30,0,0.00,0,0.00,0,0.00
Regol,14766,4863,32.93,9,0.06,0,0.00,9,0.06
Batununggal,16151,9305,57.61,0,0.00,0,0.00,0,0.00
Lengkong,14955,5753,38.47,1970,13.17,12985,86.83,14955,100.00
Cibeunying Kidul,17379,7519,43.26,3575,20.57,3762,21.65,7337,42.22
Bandung Kulon,17235,13966,81.03,6229,36.14,7241,42.01,13470,78.15
Kiaracondong,14783,8720,58.99,16,0.11,747,5.05,763,5.16
Bojongloa Kidul,11922,5419,45.45,2102,17.63,9072,76.09,11174,93.73
Cibeunying Kaler,9620,1993,20.72,4110,42.72,5089,52.90,9199,95.62
Sumur Bandung,5256,2164,41.17,0,0.00,0,0.00,0,0.00
Antapani,9721,1274,13.11,0,0.00,0,0.00,0,0.00
Bandung Kidul,7837,2971,37.91,2971,37.91,4856,61.96,7827,99.87
Buahbatu,11090,2082,18.77,0,0.00,0,0.00,0,0.00
Rancasari,7755,1512,19.50,1376,17.74,136,1.75,1512,19.50
Arcamanik,8445,2794,33.08,0,0.00,0,0.00,0,0.00
Cibiru,9427,3234,34.31,1292,13.71,2295,24.34,3587,38.05
Ujung Berung,19313,5753,29.79,0,0.00,0,0.00,0,0.00
Gedebage,7880,2753,34.94,570,7.23,6665,84.58,7235,91.81
Panyileukan,5207,1456,27.96,716,13.75,4453,85.52,5169,99.27
Cinambo,4074,1421,34.88,0,0.00,0,0.00,0,0.00
Mandalajati,10543,2770,26.27,2769,26.26,7773,73.73,10542,99.99
