NO,NAMA SEKOLAH,TINGKATAN,STATUS (NEGERI/SWASTA/YAYASAN),ALAMAT,RT,RW,KELURAHAN
26,PAUD MAWAR MEKAR,PAUD/KOBER,SWASTA,BOJONG KONENG,03,06,CAMPAKA
27,PAUD BUNGA ALAMI,PAUD/KOBER,SWASTA,BABAKAN CIANJUR,01,07,CAMPAKA
28,RA AL IKHLAS,TK/RA,SWASTA,CIMINDI,02,05,CAMPAKA
29,TK TAWEKAL,TK/RA,SWASTA,SAPTA MARGA,04,04,CAMPAKA
30,RA NURAENI,TK/RA,SWASTA,BOJONG KONENG,04,06,CAMPAKA
31,TK AL ISHAH,TK/RA,SWASTA,CIMINDI,03,05,CAMPAKA
32,TKA AMALIAH,TK/RA,SWASTA,PALEDANG,06,02,CAMPAKA
33,TKA AL MUKMIN,TK/RA,SWASTA,SAPTA MARGA,03,04,CAMPAKA
34,TK BUNGA HARAPAN,TK/RA,SWASTA,JL.PALEDANG 25,01,02,CAMPAKA
35,RA NURUL ROHMAN,TK/RA,SWASTA,BABAKAN CIANJUR,01,07,CAMPAKA
36,TKA BINA QUR'ANI,TK/RA,SWASTA,BOJONG KONENG,04,06,CAMPAKA
37,TPA AL ISHLAH,TK/RA,SWASTA,CIMINDI,03,05,CAMPAKA
38,TPA AMALIAH,TK/RA,SWASTA,PALEDANG,06,02,CAMPAKA
39,TPA AL ISHLAH,TK/RA,SWASTA,BABAKAN CIBEUREUM,04,01,CAMPAKA
40,TPA AL MUKMIN,TK/RA,SWASTA,SAPTA MARGA,03,04,CAMPAKA
41,TPA MIFTAHUL JANNAH,TK/RA,SWASTA,BOJONG KONENG,04,06,CAMPAKA
42,MDI AL ISHLAH,TK/RA,SWASTA,BABAKAN CIBEUREUM,04,01,CAMPAKA
43,DTA AT TAQWA,TK/RA,SWASTA,BABAKAN HEGAR,03,03,CAMPAKA
44,DTA AL ANWAR,TK/RA,SWASTA,BOJONG KONENG,02,06,CAMPAKA
45,DTA ALMANAWIR SYADIAH,TK/RA,SWASTA,BOJONG KONENG,06,06,CAMPAKA
46,BINA QURANI NURAENI,TK/RA,SWASTA,BOJONG KONENG,04,06,CAMPAKA
47,AL HASANAH,TK/RA,SWASTA,BOJONG KONENG,06,06,CAMPAKA
48,MDI AL BAROKAH,TK/RA,SWASTA,BABAKAN CIANJUR,01,07,CAMPAKA
49,MDI AL ROJAK,TK/RA,SWASTA,BABAKAN CIANJUR,01,07,CAMPAKA
50,MDI NURUL ISLAM,SD/MI,SWASTA,BABAKAN CIANJUR,06,07,CAMPAKA
