Nama Sekolah,NPSN,Jenjang,Alamat,Kecamatan,Tingkat 1LakiLaki,Tingkat 1Perempuan,Tingkat 2LakiLaki,Tingkat 2Perempuan,Tingkat 3LakiLaki,Tingkat 3Perempuan,Tingkat 4LakiLaki,Tingkat 4Perempuan,Tingkat 5LakiLaki,Tingkat 5Perempuan,Tingkat 6LakiLaki,Tingkat 6Perempuan,Tingkat 7LakiLaki,Tingkat 7Perempuan,Tingkat 8LakiLaki,Tingkat 8Perempuan,Tingkat 9LakiLaki,Tingkat 9Perempuan
SLB BC YPLAB CIBADUYUT,20280596,SLB,Jl. Cibaduyut gg M.A Majja 4,Kec. Bojong Loa Kidul,0,0,3,4,2,5,1,0,3,2,2,1,2,3,0,0,0,0
SLB BC YPLAB WARTAWAN,20219875,SLB,Jl. Komplek Wartawan Iv No 31a,Kec. Lengkong,2,2,5,0,2,1,3,0,1,2,7,2,1,2,6,4,6,2
SLB C ASIH MANUNGGAL,20219859,SLB,Jl. Singa Perbangsa,Kec. Coblong,3,0,0,0,2,0,4,1,0,0,3,2,3,1,3,0,1,1
SLB C BUDAYA BANGSA,20219871,SLB,Jl. CITARIP BARAT NO. 16 BLK,Kec. Bojong Loa Kaler,2,2,1,2,6,5,1,3,0,0,6,0,7,2,1,1,5,0
SLB C SILIH ASIH,20219882,SLB,Jl. Embah Jaksa Cipadung,Kec. Cibiru,2,1,6,3,4,5,1,3,3,3,1,0,1,2,3,2,1,3
SLB C SUKAPURA,20219811,SLB,Komplek Bumi Asri Sukapura,Kec. Kiaracondong,2,0,0,1,2,1,3,5,7,3,1,1,2,1,3,2,1,1
SLB C SUMBER SARI,20219761,SLB,Jl. Majalaya Ii No 29,Kec. Antapani,8,3,9,1,5,6,6,6,4,2,1,3,9,0,3,0,8,3
SLB D YPAC,20219745,SLB,Jl. Mustang No. 46,Kec. Sukajadi,10,2,3,2,4,3,2,1,0,0,2,3,2,0,3,0,8,0
SLB DARUL HIDAYAH,69830375,SLB,Jl. 17 Agustus 2 No 19,Kec. Batununggal,0,0,3,0,1,3,0,0,3,0,3,1,4,0,0,0,0,0
SLB JATIS HURIP,20219744,SLB,Komplek Pasir Pogor Jl. Pasir Intan No. 4,Kec. Rancasari,4,0,2,2,4,0,4,0,1,1,2,1,0,1,0,0,0,0
