indikator,kecamatan,kelurahan_desa,tidak_punyaijazah,sd_sederajat,smp_sederajat,sma_sederajat,d1__d3,d4_s1,s2__s3,total_krt
"Ijazah Tertinggi",PANYILEUKAN,"MEKAR MULYA",3,51,26,26,3,0,0,109
"Ijazah Tertinggi",PANYILEUKAN,"CIPADUNG KIDUL",11,65,43,52,2,2,0,175
"Ijazah Tertinggi",PANYILEUKAN,"CIPADUNG WETAN",53,147,88,55,0,3,0,348
"Ijazah Tertinggi",PANYILEUKAN,"CIPADUNG KULON",80,282,166,121,1,1,0,653
"Ijazah Tertinggi","UJUNG BERUNG",PASANGGRAHAN,222,528,265,230,3,1,0,1286
"Ijazah Tertinggi","UJUNG BERUNG",PASIRJATI,135,455,271,226,3,2,0,1104
"Ijazah Tertinggi","UJUNG BERUNG","PASIR WANGI",207,470,257,174,2,1,0,1143
"Ijazah Tertinggi","UJUNG BERUNG",CIGENDING,128,301,259,208,1,2,0,914
"Ijazah Tertinggi","UJUNG BERUNG","PASIR ENDAH",24,174,85,76,1,0,0,366
"Ijazah Tertinggi",CINAMBO,"CISARANTEN WETAN",54,136,78,56,0,0,0,325
"Ijazah Tertinggi",CINAMBO,"BABAKAN PENGHULU",136,153,80,42,0,0,0,414
"Ijazah Tertinggi",CINAMBO,PAKEMITAN,6,86,41,57,0,0,0,191
"Ijazah Tertinggi",CINAMBO,SUKAMULYA,46,119,95,95,0,1,0,360
"Ijazah Tertinggi",ARCAMANIK,"CISARANTEN KULON",109,455,268,213,4,4,0,1061
"Ijazah Tertinggi",ARCAMANIK,"CISARANTEN BINA HARAPAN",72,451,230,165,3,2,0,926
"Ijazah Tertinggi",ARCAMANIK,SUKAMISKIN,80,308,141,159,0,1,0,697
"Ijazah Tertinggi",ARCAMANIK,"CISARANTEN ENDAH",194,371,131,75,5,1,0,831
"Ijazah Tertinggi",ANTAPANI,"ANTAPANI KIDUL",2,142,99,57,1,1,0,307
"Ijazah Tertinggi",ANTAPANI,"ANTAPANI TENGAH",128,314,153,129,5,6,0,749
"Ijazah Tertinggi",ANTAPANI,"ANTAPANI WETAN",22,357,182,194,3,3,0,761
"Ijazah Tertinggi",ANTAPANI,"ANTAPANI KULON",150,155,119,45,0,0,0,483
"Ijazah Tertinggi",MANDALAJATI,JATIHANDAP,221,608,249,186,3,0,0,1276
"Ijazah Tertinggi",MANDALAJATI,"KARANG PAMULANG",192,481,208,201,8,0,0,1105
"Ijazah Tertinggi",MANDALAJATI,"SINDANG JAYA",23,284,120,129,3,1,0,561
"Ijazah Tertinggi",MANDALAJATI,"PASIR IMPUN",107,171,78,32,0,1,0,396
"Ijazah Tertinggi",KIARACONDONG,"KEBON KANGKUNG",31,331,164,232,3,3,0,768
"Ijazah Tertinggi",KIARACONDONG,SUKAPURA,60,832,480,399,7,1,0,1792
"Ijazah Tertinggi",KIARACONDONG,"KEBUN JAYANTI",65,301,217,301,6,4,0,904
"Ijazah Tertinggi",KIARACONDONG,"BABAKAN SARI",92,724,390,410,5,2,0,1634
"Ijazah Tertinggi",KIARACONDONG,"BABAKAN SURABAYA",69,487,243,227,6,1,0,1039
"Ijazah Tertinggi",KIARACONDONG,CICAHEUM,38,376,209,256,8,7,0,905
