NO,NAMA KELURAHAN,NAMA MINI MARKET,ALAMAT LENGKAP PERUSAHAAN,JUMLAH PEGAWAI,JAM KERJA
1,Cipadung Kidul,Alfa Mart Cimincrang,Jl. Cimincrang No. 40 Rt.03/12,7 Orang,07.00 - 22.00
2,Cipadung Kidul,Alfa Mart Panyileukan,Bumi Panyileukan E.10 No.1 Rt.01/04,8 Orang,07.00 - 22.01
3,Cipadung Kidul,Yomart Panyileukan,Bumi Panyileukan D.2 No.3 Rt.01/13,6 Orang,07.00 - 22.02
4,Cipadung Kidul,Indomart Panyileukan,Bumi Panyileukan D.2 No.4 Rt.01/13,8 Orang,07.00 - 22.03
