NO,UMUR,WNI PRIA,WNI WANITA,WNA PRIA,WNA WANITA
1,0 - 4,3212,3119,0,0
2,5 - '9,2870,2884,0,0
3,10 -'14,3025,2895,0,0
4,15 - 19,3050,2946,0,0
5,20 - 24,3258,3224,5,3
6,25 - 29,3307,3113,0,0
7,30 - 34,2975,2875,1,1
8,35 - 39,2975,2959,2,1
9,40 - 44,2712,2734,2,1
10,45 - 49,2428,1918,1,1
11,50 - 54,1942,1774,1,1
12,55 - 59,1609,1581,0,0
13,60 - 64 ,1428,1531,0,0
14,65 Keatas,1350,1410,0,0
JUMLAH,,36141,34963,12,8
