TAHUN,FASILITAS LALU LINTAS,EKSISTING,SATUAN,PERBAIKAN,SATUAN
2013,PJU (PENERANGAN JALAN UMUM),178,TITIK/LOKASI,4,TITIK/LOKASI
2013,APILL (TRAFFIC LIGHT),108,TITIK/LOKASI,5,TITIK/LOKASI
2013,FASILITAS SEPEDA,5,TITIK/LOKASI,0,TITIK/LOKASI
2013,FASILITAS PENDUKUNG,12,TITIK/LOKASI,0,TITIK/LOKASI
2013,ALAT PENGAWASAN JALAN,23,TITIK/LOKASI,45,TITIK/LOKASI
2013,ALAT PENGENDALI PEJALAN KAKI,288,TITIK/LOKASI,13,TITIK/LOKASI
2013,RAMBU,585,TITIK/LOKASI,36,TITIK/LOKASI
2013,MARKA,738,TITIK/LOKASI,98,TITIK/LOKASI
2014,PJU (PENERANGAN JALAN UMUM),246,TITIK/LOKASI,14,TITIK/LOKASI
2014,APILL (TRAFFIC LIGHT),103,TITIK/LOKASI,6,TITIK/LOKASI
2014,FASILITAS SEPEDA,175,TITIK/LOKASI,33,TITIK/LOKASI
2014,FASILITAS PENDUKUNG,114,TITIK/LOKASI,33,TITIK/LOKASI
2014,ALAT PENGAWASAN JALAN,17,TITIK/LOKASI,2,TITIK/LOKASI
2014,ALAT PENGENDALI PEJALAN KAKI,86,TITIK/LOKASI,7,TITIK/LOKASI
2014,RAMBU,1677,TITIK/LOKASI,148,TITIK/LOKASI
2014,MARKA,748,TITIK/LOKASI,73,TITIK/LOKASI
