NO,ID.PENJUAL,JENIS USAHA,ALAMAT USAHA,TEMPAT YANG DIGUNAKAN,WAKTU BERJUALAN,KELURAHAN
1,PKL01AK,Jualan Knalpot,Jl,trs jakarta,Trotoar,07.00 - 17.00 Wib,Kel.Antapani Kulon
2,PKL02AK,Bengkel Motor,Jl,trs jakarta,Trotoar,07.00 - 17.00 Wib,Kel.Antapani Kulon
3,PKL03AK,Bubur Ayam,Jl,trs jakarta,Trotoar,07.00 - 17.00 Wib,Kel.Antapani Kulon
4,PKL04AK,Bengkel Sepeda,Jl,trs jakarta,Trotoar,07.00 - 17.00 Wib,Kel.Antapani Kulon
5,PKL05AK,Jualan Koran,Jl,trs jakarta,Trotoar,07.00 - 11.00 Wib,Kel.Antapani Kulon
6,PKL06AK,Jualan Gorengan,Jl,trs jakarta,Trotoar,07.00 - 16.30 Wib,Kel.Antapani Kulon
7,PKL17AK,Es juice / Sop Buah,Jl,trs jakarta,Trotoar,10.00 - 17.30 Wib,Kel.Antapani Kulon
8,PKL18AK,Jualan Roti Kukus & Susu Murni,Jl,trs jakarta,Trotoar,17.00 - 23.00 Wib,Kel.Antapani Kulon
9,PKL09AK,Nasi Kuning & Kupat Tahu,Jl,trs jakarta,Trotoar,06.00 - 14.00 Wib,Kel.Antapani Kulon
10,PKL010AK,Jualan Ayam Crispy,Jl,trs jakarta,Trotoar,06.00 - 15.00 Wib,Kel.Antapani Kulon
11,PKL011AK,Cimol dan Pempek,Jl,trs jakarta,Trotoar,07.00 - 17.00  Wib,Kel.Antapani Kulon
12,PKL012AK,Warung Nasi,Jl,trs jakarta,Trotoar,08.00 - 15.00 Wib,Kel.Antapani Kulon
13,PKL013AK,Jualan Kupat Tahu,Jl,trs jakarta,Trotoar,08.00 - 15.00 Wib,Kel.Antapani Kulon
14,PKL114AK,Jualan Lumpiah Basah,Jl,trs jakarta,Trotoar,17.00 - 20.00 Wib,Kel.Antapani Kulon
15,PKL115AK,Jualan Gorengan,Jl,trs jakarta,Trotoar,15.00 - 23.00 Wib,Kel.Antapani Kulon
16,PKL116AK,Pempek Palembang,Jl,trs jakarta,Trotoar,17.00 - 23.00 Wib,Kel.Antapani Kulon
17,PKL017AK,Jualan Sendal,Jl,trs jakarta,Trotoar,08.00 - 17.00 Wib,Kel.Antapani Kulon
18,PKL018AK,Kupat Tahu,Jl,trs jakarta,Trotoar,05.30 - 15.00 Wib,Kel.Antapani Kulon
19,PKL119AK,Sate Ayam ,Jl,trs jakarta,Trotoar,16.30 - 24.00 wIb,Kel.Antapani Kulon
20,PKL020AK,Bubur Ayam,Jl,trs jakarta,Trotoar,06.00 - 11.00 Wib,Kel.Antapani Kulon
21,PKL021AK,Ayam Potong,Jl,trs jakarta,Trotoar,06.00 - 12.00 Wib,Kel.Antapani Kulon
22,PKL022AK,Cat Duco,Jl,trs jakarta,Trotoar,07.00 - 17.00 Wib,Kel.Antapani Kulon
