kecamatan,2011,2012,2013,2014,2015
Andir ,460,372,322,318,268
Antapani ,153,213,227,219,151
Arcamanik ,138,192,200,177,143
Astana Anyar ,214,227,234,204,187
Babakan Ciparay ,249,276,306,289,253
Bandung Kidul ,143,150,183,157,149
Bandung Kulon ,153,210,209,175,152
Bandung Wetan ,184,200,201,191,144
Batununggal ,188,199,173,176,156
Bojongloa Kaler ,170,190,196,154,123
Bojongloa Kidul ,144,195,217,212,140
Buah Batu ,221,338,377,288,248
Cibeunying Kaler ,130,168,155,127,115
Cibeunying Kidul ,163,189,192,196,161
Cibiru ,50,53,73,49,38
Cidadap ,235,262,274,226,212
Cinambo ,79,71,86,83,52
Cicendo ,49,49,56,55,58
Coblong ,182,248,264,183,177
Gedebage ,55,61,103,91,75
Kiaracondong ,145,181,211,196,159
Mandalajati ,380,410,453,423,347
Lengkong ,48,61,74,62,44
Panyileukan ,55,88,83,88,74
Rancasari ,140,192,193,203,146
Regol ,351,384,338,327,279
Sukajadi ,212,221,269,217,176
Sukasari ,135,180,181,175,108
Sumur Bandung ,296,333,353,282,261
Ujungberung ,68,107,98,79,74
