indikator,kecamatan,kelurahan_desa,kks__kps,kip__bsm,pkh,raskin,kur,total_krt
"Program Bantuan",ARCAMANIK,"CISARANTEN KULON",194,5,0,808,0,1061
"Program Bantuan",ARCAMANIK,"CISARANTEN BINA HARAPAN",229,8,0,546,0,926
"Program Bantuan",ARCAMANIK,SUKAMISKIN,145,76,0,590,0,697
"Program Bantuan",ARCAMANIK,"CISARANTEN ENDAH",1,25,0,681,0,831
"Program Bantuan",ANTAPANI,"ANTAPANI KIDUL",0,2,0,258,0,307
"Program Bantuan",ANTAPANI,"ANTAPANI TENGAH",179,6,27,264,0,749
"Program Bantuan",ANTAPANI,"ANTAPANI WETAN",262,8,66,362,0,761
"Program Bantuan",ANTAPANI,"ANTAPANI KULON",70,9,10,406,0,483
"Program Bantuan",MANDALAJATI,JATIHANDAP,417,25,3,1133,0,1276
"Program Bantuan",MANDALAJATI,"KARANG PAMULANG",547,76,135,842,0,1105
"Program Bantuan",MANDALAJATI,"SINDANG JAYA",44,26,5,433,0,561
"Program Bantuan",MANDALAJATI,"PASIR IMPUN",118,51,39,370,0,396
"Program Bantuan",KIARACONDONG,"KEBON KANGKUNG",225,43,24,643,0,768
"Program Bantuan",KIARACONDONG,SUKAPURA,565,53,27,1168,0,1792
"Program Bantuan",KIARACONDONG,"KEBUN JAYANTI",485,31,64,770,0,904
"Program Bantuan",KIARACONDONG,"BABAKAN SARI",388,79,74,1329,0,1634
"Program Bantuan",KIARACONDONG,"BABAKAN SURABAYA",202,31,4,786,0,1039
"Program Bantuan",KIARACONDONG,CICAHEUM,314,45,2,782,0,905
"Program Bantuan",BATUNUNGGAL,GUMURUH,120,26,24,702,0,823
"Program Bantuan",BATUNUNGGAL,BINONG,177,36,22,790,0,1020
"Program Bantuan",BATUNUNGGAL,"KEBON GEDANG",203,30,21,507,0,586
"Program Bantuan",BATUNUNGGAL,MALEER,180,29,23,1295,0,1423
"Program Bantuan",BATUNUNGGAL,CIBANGKONG,362,68,58,876,0,1020
"Program Bantuan",BATUNUNGGAL,SAMOJA,351,58,52,763,0,1019
"Program Bantuan",BATUNUNGGAL,KACAPIRING,139,53,18,276,0,456
"Program Bantuan",BATUNUNGGAL,"KEBON WARU",325,42,19,588,0,841
"Program Bantuan","SUMUR BANDUNG",BRAGA,111,65,0,158,0,189
"Program Bantuan","SUMUR BANDUNG","KEBON PISANG",187,39,0,249,0,296
"Program Bantuan","SUMUR BANDUNG",MERDEKA,17,2,0,46,0,53
"Program Bantuan","SUMUR BANDUNG","BABAKAN CIAMIS",67,4,1,153,0,181
"Program Bantuan",ANDIR,CAMPAKA,293,72,32,625,0,866
"Program Bantuan",ANDIR,MALEBER,281,48,53,607,0,732
"Program Bantuan",ANDIR,GARUDA,232,36,21,370,0,506
"Program Bantuan",ANDIR,"DUNGUS CARIANG",312,37,31,687,0,784
"Program Bantuan",ANDIR,CIROYOM,465,45,62,964,0,1109
"Program Bantuan",ANDIR,"KEBON JERUK",187,12,22,386,0,518
"Program Bantuan",CICENDO,ARJUNA,0,3,0,195,0,204
"Program Bantuan",CICENDO,PASIRKALIKI,170,0,21,266,0,300
"Program Bantuan",CICENDO,PAMOYANAN,13,0,0,107,0,182
"Program Bantuan",CICENDO,PAJAJARAN,522,8,56,653,0,1175
"Program Bantuan",CICENDO,"HUSEN SASTRANEGARA",249,14,6,748,0,859
"Program Bantuan",CICENDO,SUKARAJA,395,9,55,639,0,815
"Program Bantuan","BANDUNG WETAN","TAMAN SARI",312,65,0,646,0,786
"Program Bantuan","BANDUNG WETAN",CITARUM,12,2,0,13,0,25
"Program Bantuan","BANDUNG WETAN",CIHAPIT,20,4,0,30,0,34
"Program Bantuan","CIBEUNYING KIDUL",SUKAMAJU,102,3,7,340,0,421
"Program Bantuan","CIBEUNYING KIDUL",CICADAS,95,8,8,307,0,587
"Program Bantuan","CIBEUNYING KIDUL",CIKUTRA,274,6,19,864,0,1025
"Program Bantuan","CIBEUNYING KIDUL",PADASUKA,319,6,3,713,0,918
"Program Bantuan","CIBEUNYING KIDUL",PASIRLAYUNG,315,57,18,929,0,1066
"Program Bantuan","CIBEUNYING KIDUL",SUKAPADA,276,86,5,1072,0,1244
"Program Bantuan","CIBEUNYING KALER",CIHAURGEULIS,69,4,10,311,0,482
"Program Bantuan","CIBEUNYING KALER",SUKALUYU,199,1,6,325,0,497
"Program Bantuan","CIBEUNYING KALER",NEGLASARI,122,18,13,323,0,386
"Program Bantuan","CIBEUNYING KALER",CIGADUNG,324,46,30,877,0,1057
"Program Bantuan",COBLONG,CIPAGANTI,344,6,3,552,0,694
"Program Bantuan",COBLONG,"LEBAK SILIWANGI",126,2,11,169,0,269
"Program Bantuan",COBLONG,"LEBAK GEDE",84,14,3,279,0,381
"Program Bantuan",COBLONG,"SADANG SERANG",384,141,26,943,0,1139
"Program Bantuan",COBLONG,SEKELOA,375,46,37,740,0,1006
"Program Bantuan",COBLONG,DAGO,338,54,47,955,0,1317
"Program Bantuan",SUKAJADI,SUKAWARNA,260,5,53,335,0,392
"Program Bantuan",SUKAJADI,SUKAGALIH,316,33,12,668,0,1012
"Program Bantuan",SUKAJADI,SUKABUNGAH,360,6,17,1024,0,1322
"Program Bantuan",SUKAJADI,CIPEDES,345,38,36,1174,0,1337
"Program Bantuan",SUKAJADI,PASTEUR,108,1,9,545,0,759
"Program Bantuan",SUKASARI,SARIJADI,147,96,0,395,0,534
"Program Bantuan",SUKASARI,SUKARASA,190,75,0,387,0,426
"Program Bantuan",SUKASARI,GEGERKALONG,123,1,0,553,0,600
"Program Bantuan",SUKASARI,ISOLA,117,22,1,271,0,379
"Program Bantuan",CIDADAP,HEGARMANAH,295,27,50,450,0,569
"Program Bantuan",CIDADAP,CIUMBULEUIT,343,38,72,684,0,765
"Program Bantuan",CIDADAP,LEDENG,89,2,16,127,0,268
