NO.,UMUR,WNI PRIA,WNI WANITA,WNA PRIA,WNA WANITA
1,0-4,5132,5008,0,0
2,5-9,4827,5013,0,0
3,10-14,5805,5247,0,0
4,15-19,5536,5336,0,0
5,20-24,5567,5405,0,0
6,25-29,5349,5421,0,0
7,30-34,5285,4850,0,0
8,35-39,4094,4086,0,0
9,40-44,3989,3742,0,0
10,45-49,3876,4085,0,0
11,50-54,3366,3185,0,0
12,55-59,3184,3323,0,0
13,60-64,2666,2716,0,0
14,65 >,2381,3100,0,0
JUMLAH,,61057,60517,0,0
