NO.,NAMA SUNGAI,LOKASI USULAN (RT dan RW) ,KELURAHAN
1,TERUSAN ANAK KALI CILIMUS,JL. BABAKAN CIPARAY RW 007,Sukaasih
2,TERUSAN ANAK KALI CIROYOM,JL. PETA TERUSAN GG. LAKSANA RW 004/RW 005/RW 008/RW 010,Sukaasih
3,TERUSAN ANAK CITEPUS,JL. PETA TERUSAN GG. SUKAMULYA RW 003/RW 004/RW 009,Sukaasih
