NO,LETAK/ALAMAT,LUAS (M2),PENGGUNAAN,KET
1,Taman Permata RT 03 RW 01 Kel.Cipamolokan ,120,Penghijauan ,
2,Tanah Kosong RT 01 RW 01 Kel.Cipamolokan ,300,Kolam, tanaman,
3,Tanah Kosong RT 08 RW 01 Kel.Cipamolokan ,1000,Blm digunakan,
4,Pratama Asri RT 08  RW 01 Kel.Cipamolokan ,40,Penghijauan ,
5,Tanah Kosong ( Pratama Asri ) RT 08 Rw 01 Kel.Cipamolokan ,3 unit x 120 m,Blm digunakan,
6,Batu Karang RT 06 RW 01 Kel.Cipamolokan ,40,Penghijauan ,
7,Tanah Kosong RT 05 Rw 01 Kel.Cipamolokan ,3000,Blm digunakan,Blkng Kel.cpmk
8,kantor Dolog RT 08 RW 01 Kel.Cipamolokan ,1 ha,Taman Dan Kolam,
9,Tanah Kosong RT 05 Rw 01 Kel.Cipamolokan ,2 ha,Lapang Sepak Bola,
10,Tanah Kosong RT 01 RW 01 Kel.Cipamolokan ,2500,Blm digunakan,samping aria graha
11,Perum cpmk Rw 01 Kel.Cipamolokan ,10 unit x 108 m,Blm digunakan,
12,Taman kel.cipamolokan RW 01 Kel.Cipamolokan ,120,Penghijauan ,
13,Taman Aria Graha Rw 02 Kel.Cipamolokan ,250,Taman bermain,
14,Taman Lotte mart RW 02 Kel.Cipamolokan ,1 ha,Olah raga, bermain,
15,Tanah kosong RT 02 RW 02 Kel.Cipamolokan ,200,Blm digunakan,
16,Tanah Kosong Rw 03 Kel.Cipamolokan ,120,Blm digunakan,samping GSG
17,Taman halaman SLTP Otista Rw 03 Kel.Cipamolokan ,400,Keg siswa,
18,Taman Gedung serba Guna RW 04 Kel.Cipamolokan ,400,Kegiatan Warga,
19,Tanah Kosong Rw 04 Kel.Cipamolokan ,3 unit x 120 m,Blm digunakan,
20,Taman Gedung serba Guna RW 05 Kel.Cipamolokan ,280,Kegiatan Warga,
21,Tanah Kosong RT 10 RW 05 Kel.Cipamolokan ,130,Blm digunakan,
22,Tanah Kosong RW 05 Kel.Cipamolokan ,2 unit x 300 m,Blm digunakan,sbgn sipakai TPS
23,Taman kec. Rancasari Rw 05 Kel.Cipamolokan ,1000,Penghijauan ,
24,Taman Jogging Trac RW 05 Kel.Cipamolokan ,100,Olah raga,
25,Taman Grand Sharon RW 06 Kel.Cipamolokan ,500,Taman bermain,
26,Tanah Kosong RT 01, RT 02 RW 06 Kel.Cipamolokan ,600,Blm digunakan,
27,Halaman Masjid Baiturahmah Rw 07 Kel.Cipamolokan ,150,Kegiatan Warga,
28,Halaman Masjid Al-Hikmah Rw 08 Kel.Cipamolokan ,400,Kegiatan Warga,
29,Tanah kosong RT 07 Rw 08 Kel.Cipamolokan ,3 unit :150 ,Blm digunakan,
30,Halaman Mesjid Baiturahim RW 09 Kel.Cipamolokan ,300,Kegiatan Warga,
31,Hal.Kantor Distarcip, Pajak, Binamarga Kel.Cipamolokan ,1000,Penghijauan ,
32,Gor RW 01 (BSD) Kel.Cipamolokan ,900,Keg Olah raga,
33,Gor RW 02 (Aria Graha) Kel.Cipamolokan ,900,Keg Olah raga,
34,Gor RW 08 RT 07 Gazza Kel.Cipamolokan ,900,Keg Olah raga,
35,Gor RW 08 RT 04 SOS Kel.Cipamolokan ,500,Keg Olah raga,
36,Derwati RT 03/02 Kel. Derwati,3,7 H,Sawah ,
37,Komp Bidakara RT 03/02  Kel. Derwati,550 M,Taman,
38,Rancabolang RT 05/08  Kel. Derwati,500 M,Taman,
39,keadilan I RT 01 RW 09  Kel. Derwati,400 M,Taman,
40,keadilan III RT 01 RW 09  Kel. Derwati,350 M,Lapang Volly Ball,
41,Saluyu Indah Raya RW 10  Kel. Derwati,864 M,Sarana Olah Raga ,
42,Saluyu Indah X RT 05 RW 10  Kel. Derwati,400 M,Lapang Volly Ball,
43,kemakmuran RW 11  Kel. Derwati,450 M,Lapang Volly Ball,
44,Bandung Inten RT 03 RW 12  Kel. Derwati,500 M,Taman,
45,Bandung Inten RT 02 RW 12  Kel. Derwati,600 M,Taman,
46,Bandung Inten RT 03 RW 12  Kel. Derwati,450 M,Taman,
47,Komp De Marekes RT 05 RW 07  Kel. Derwati,650 M,Taman,
