jenis_peraturan,nomor_peraturan,tahun,judul_peraturan,dokumen_peraturan
Keputusan Walikota,978/KEP.398-DPKAD,2013,PEMBERIAN BELANJA HIBAH YANG BERSUMBER DARI ANGGARAN PENDAPATAN DAN BELANJA DAERAH KOTA BANDUNG TAHUN ANGGARAN 2013 ,http://jdih.net/bandung/web/pdfperda/Kepwal_978_Kep. 398-DPKAD_2013 Belanja Hibah Tahun 2013.zip
Keputusan Walikota,978/KEP. 754-DPKAD,2013,"PEMBENTUKAN TIM PENYUSUNAN RANCANGAN PERATURAN WALIKOTA BANDUNG TENTANG PERUBAHAN KEDUA ATAS PERATURAN WALIKOTA BANDUNG NOMOR 891 TAHUN 2011 TENTANG TATA CARA PENGANGGARAN, PELAKSANAAN DAN PENATAUSAHAAN PERTANGGUNGJAWABAN DAN PELAPORAN SERTA MONITORING DAN EVALUASI BELANJA HIBAH DAN BELANJA BANTUAN SOSIAL YANG BERSUMBER DARI ANGGARAN PENDAPATAN DAN BELANJA DAERAH",http://jdih.net/bandung/web/pdfperda/Kepwal_978_Kep. 754-DPKAD_2013 Tim Revisi Perwal Hibah.zip
Keputusan Walikota,976/KEP.169-BAPPEDA,2013,TIM KOORDINASI DANA BAGI HASIL CUKAI HASIL TEMBAKAU (DBHCHT) KOTA BANDUNG.,http://jdih.net/bandung/web/pdfperda/Kepwal_976_Kep-BAPPEDA_2013_DBHCT.pdf
Keputusan Walikota,974/KEP.1006-DISHUB,2013, PENETAPAN PENERIMA DAN BESARAN INSENTIF PEMUNGUTAN RETRIBUSI DAERAH DI LINGKUNGAN DINAS PERHUBUNGAN KOTA BANDUNG TAHUN ANGGARAN 2013 ,http://jdih.net/bandung/web/pdfperda/KEPWAL_974_Kep.1006-DisHub_2013 Insetif Dishub.pdf
Keputusan Walikota,974/KEP.625-BPPT,2013, PENETAPAN PENERIMA DAN BESARAN INSENTIF PEMUNGUTAN RETRIBUSI DAERAH DI LINGKUNGAN BADAN PELAYANAN PERIJINAN TERPADU KOTA BANDUNG ,http://jdih.net/bandung/web/pdfperda/Kepwal_974_Kep.625-BPPT_2013973INSENTIF BPPT.pdf
Keputusan Walikota,974/KEP.799-DISPERTAPA,2013, TENTANG PENETAPAN PENERIMA DAN BESARAN INSENTIF PEMUNGUTAN RETRIBUSI DAERAH DI LINGKUNGAN DINAS PERTANIAN DAN KETAHANAN PANGAN KOTA BANDUNG TAHUN ANGGARAN 2013 ,http://jdih.net/bandung/web/pdfperda/Kepwal_974_Kep.pdf
Keputusan Walikota,974/KEP.1139-BPPT,2013, PENETAPAN PENERIMA DAN BESARAN INSENTIF PEMUNGUTAN RETRIBUSI DAERAH DILINGKUNGAN BADAN PELAYANAN PERIZINAN TERPADU KOTA BANDUNG TAHUN ANGGARAN 2013 ,http://jdih.net/bandung/web/pdfperda/Kepwal_974_Kep.pdf
Keputusan Walikota,973/KEP.273-DISPENDA,2013,PENETAPAN PENERIMA DAN BESARAN INSENTIF PEMUNGUTAN PAJAK DAERAH.,http://jdih.net/bandung/web/pdfperda/Kepwal_973_Kep.273-DisPenda_2013.zip
Keputusan Walikota,973/KEP.620-DISYANJAK,2013,PENETAPAN PENERIMA DAN BESARAN INSENTIF PEMUNGUTAN PAJAK DAERAH ,http://jdih.net/bandung/web/pdfperda/Kepwal_973_Kep.620-Disyanjak_2013_insentif disyanjak_SALINAN_.zip
Keputusan Walikota,954/KEP.002-DPKAD,2013,"PENUNJUKAN SEKRETARIS DAERAH KOTA BANDUNG SELAKU KOORDINATOR PENGELOLA KEUANGAN DAERAH, KEPALA DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH KOTA BANDUNG SELAKU PEJABAT PENGELOLA KEUANGAN DAERAH DAN BENDAHARA UMUM DAERAH, SERTA PEJABAT PADA DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH KOTA BANDUNG SELAKU KUASA BENDAHARA UMUM DAERAH DI LINGKUNGAN PEMERINTAH KOTA BANDUNG TAHUN ANGGARAN 2013.",http://jdih.net/bandung/web/pdfperda/Kepwal_954_Kep. 002-DPKAD_2013_Kuasa BUD 2013.pdf
Keputusan Walikota,954/KEP.289-DINKES,2013,PENETAPAN SATUAN KERJA DAN PEJABAT PENGELOLA KEUANGAN UNTUK DANA TUGAS PEMBANTUAN BANTUAN OPERASIONAL KESEHATAN PADA DINAS KESEHATAN KOTA BANDUNG TAHUN 2013. ,http://jdih.net/bandung/web/pdfperda/Kepwal_954_Kep.289-DinKes_2013-PEJABAT PENGELOLA KEUANGAN BOK-DinKes.pdf
Keputusan Walikota,954/KEP.003-DPKAD,2013,"PENUNJUKAN PEJABAT PENGGUNA ANGGARAN/PENGGUNA BARANG, PEJABAT KUASA PENGGUNA ANGGARAN, KUASA PENGGUNA BARANG, BENDAHARA PENERIMA PEMBANTU, BENDAHARA PENGELUARAN PEMBANTU FII LINGKUNGAN PEMERINTAH KOTA BANDUNG TAHUN ANGGAARAN 2013.",http://jdih.net/bandung/web/pdfperda/Kepwal_954_Kep. 003-DPKAD_2013_Kepwal Perubahan KPA.pdf
Keputusan Walikota,954/KEP. 058-DPKAD,2013," PENUNJUKAN PEJABAT PENGGUNA ANGGARAN/PENGGUNA BARANG, PEJABAT KUASA PENGGUNA ANGGARAN/KUASA PENGGUNA BARANG, BENDAHARA PENERIMAAN, BENDAHARA PENGELUARAN, BENDAHARA PENERIMAAN PEMBANTU DAN BENDAHARA PENGELUARAN PEMBANTU DI LINGKUNGAN PEMERINTAH KOTA BANDUNG TAHUN ANGGARAN 2013 ",http://jdih.net/bandung/web/pdfperda/Kepwal_954_Kep. 058-DPKAD_2013_Perubahan Penunjukan Pej. Pengguna Anggaran-Jan 2013 _lamp. di DPKAD_.pdf
Keputusan Walikota,900/KEP.026-DPKAD,2013,"PEMBENTUKAN TIM PENYUSUNAN RANCANGAN PERATURAN DAERAH KOTA BANDUNG TENTANG PERTANGGUNGJAWABAN PELAKSANAAN ANGGARAN PENDAPATAN DAN BELANJA DAERAH, DAN RANCANGAN PERATURAN WALIKOTA BANDUNG TENTANG PENJABARAN PERTANGGUNGJAWABAN PELAKSANAAN ANGGARAN PENDAPATAN DAN BELANJA DAERAH TAHUN ANGGARAN 2012.",http://jdih.net/bandung/web/pdfperda/Kepwal_900_Kep. 026-DPKAD_2013_Tim Perda dan Raperda 2012.pdf
Keputusan Walikota,900/KEP.108-DPKAD,2013,PAGU UANG PERSEDIAAN SATUAN KERJA PERANGKAT DAERAH DI LINGKUNGAN PEMERINTAH KOTA BANDUNG TAHUN ANGGARAN 2013.,-
Keputusan Walikota,900/KEP. 549-DPKAD,2013," STANDAR HONORARIUM, UANG LEMBUR, PERJALANAN DINAS DAN STANDAR SATUAN HARGA ATAS BARANG/JASA PENYELENGGARAAN PEMILIHAN WALIKOTA DAN WAKIL WALIKOTA BANDUNG TAHUN 2013 ",http://jdih.net/bandung/web/pdfperda/Kepwal_900_Kep. 549-DPKAD_2013 standar harga pilwakot dan walkot.pdf
Keputusan Walikota,900/KEP.297-DPKAD,2013, TIM PELAKSANA PENERAPAN SISTEM INFORMASI MANAJEMEN DAERAH PADA KEGIATAN PENYUSUNAN SISTEM INFORMASI PENGELOLAAN KEUANGAN DAERAH PEMERINTAHAN KOTA BANDUNG TAHUN ANGGARAN 2013 ,http://jdih.net/bandung/web/pdfperda/Kepwal_900_Kep.pdf
Keputusan Walikota,900/KEP.952.DPKAD,2013," PENUNJUKAN PT BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN, TBK CABANG TAMANSARI SEBAGAI TEMPAT MENYIMPAN UANG DAERAH KOTA BANDUNG ",http://jdih.net/bandung/web/pdfperda/Kepwal_900_Kep.952.DPKAD_2013-BJB 2013.pdf
Keputusan Walikota,900/KEP.576-DPKAD,2013," TIM PENYUSUN STANDAR PENATAUSAHAAN DAN PENGELOLAAN KEUANGAN BADAN LAYANAN UMUM DAERAH RUMAH SAKIT UMUM DAERAH KOTA BANDUNG, RUMAH SAKIT IBU DAN ANAK KOTA BANDUNG, DAN RUMAH SAKIT KHUSUS GIGI DAN MULUT KOTA BANDUNG ",http://jdih.net/bandung/web/pdfperda/Kepwal_ 900_Kep.576-DPKAD_2013_Tim BLUD DPKAD.pdf
Keputusan Walikota,900/KEP. 1239-DPKAD,2013,PAGU UANG PERSEDIAAN DALAM RANGKA PELAKSANAAN SURAT PENYEDIAAN DANA PENDAHULUAN PADA SATUAN KERJA PERANGKAT DAERAH DI LINGKUNGAN PEMERINTAH KOTA BANDUNG TAHUN ANGGARAN 2014 ,http://jdih.net/bandung/web/pdfperda/Kepwal_900_Kep. 1239-DPKAD_2013 Pagu Persediaan 2014.zip
Keputusan Walikota,841/KEP.091-BKD,2013,PENETAPAN STANDARISASI TAMBAHAN PENGHASILAN BAGI PEGAWAI NEGERI SIPIL DAERAH DI LINGKUNGAN PEMERINTAH KOTA BANDUNG TAHUN ANGGARAN 2013.,-
Keputusan Walikota,800/KEP.241-BAPPEDA,2013,PEMBENTUKAN TIM PEMBINA PENYELENGGARAAN KOTA SEHAT.,http://jdih.net/bandung/web/pdfperda/Kepwal_800_Kep. 241-Bappeda_2013-Pembentukan Tim Pembina Kota Sehat.pdf
Keputusan Walikota,800/KEP.1128-BKD,2013, PEMBENTUKAN TIM PELAKSANA GERAKAN DISIPLIN APARATUR DI LINGKUNGAN PEMERINTAH KOTA BANDUNG ,http://jdih.net/bandung/web/pdfperda/KEPWAL_ 800_Kep.1128-BKD_2013_DISIPLIN APARATUR- KOREKSI SUB BAG+ LAMPIRAN- ACC-021213.pdf
Keputusan Walikota,700/KEP.001-INSPEKTORAT,2013,PROGRAM KERJA PENGAWASAN TAHUNAN (PKPT) INSPEKTORAT KOTA BANDUNG TAHUN 2013.,http://jdih.net/bandung/web/pdfperda/Kepwal_700_Kep.001-Inspektorat_2013_ PKPT 2013.pdf
Keputusan Walikota,700/KEP.613-INSPEKTORAT,2013, PEMBENTUKAN DAN SUSUNAN TIM PENILAI ANGKA KREDIT JABATAN FUNGSIONAL PENGAWAS PENYELENGGARAAN URUSAN PEMERINTAHAN DI DAERAH (P2UPD) DAN SEKRETARIAT TIM PENILAI ANGKA KREDIT JABATAN FUNGSIONAL PADA INSPEKTORAT KOTA BANDUNG PERIODE TAHUN 2013-2015 ,http://jdih.net/bandung/web/pdfperda/Kepwal_700_Kep.613-Inspektorat_2013 ANGKA KREDIT AUDITOR.pdf
Keputusan Walikota,700/KEP.530-INSPEKTORAT,2013, TIM TINDAK LANJUT HASIL PEMERIKSAAN BADAN PEMERIKSA KEUANGAN REPUBLIK INDONESIA PADA PEMERINTAH KOTA BANDUNG ,http://jdih.net/bandung/web/pdfperda/Kepwal_700_Kep.530-Inspektorat_2013 TIM TLHP BPK RI 2013 SALINAN.zip
Keputusan Walikota,700/KEP.544-INSPEKTORAT,2013, PROGRAM KERJA PENGAWASAN TAHUNAN (PKPT) INSPEKTORAT KOTA BANDUNG TAHUN 2013 ,http://jdih.net/bandung/web/pdfperda/Kepwal_700_Kep.544-Inspektorat_2013 PKPT 2013.pdf
Keputusan Walikota,690/KEP.010-PDAM,2013,PENGESAHAN RENCANA KERJA DAN ANGGARAN PERUSAHAAN DAERAH AIR MINUM TIRTAWENING KOTA BANDUNG TAHUN 2013.,http://jdih.net/bandung/web/pdfperda/Kepwal_690_Kep.010-PDAM_2013-PENGESAHAN RKA-PDAM.pdf
Keputusan Walikota,690/KEP.755-PDAM,2013, PEMBAGIAN JASA PRODUKSI PERUSAHAAN DAERAH AIR MINUM TIRTAWENING KOTA BANDUNG TAHUN BUKU 2012 ,http://jdih.net/bandung/web/pdfperda/Kepwal_690_Kep.755-PDAM_2013-PEMBAGIAN JASA PRODUKSI-PDAM.pdf
Keputusan Walikota,690/KEP.991-PDAM,2013, PEMBENTUKAN TIM INDEPENDEN SELEKSI CALON DIREKTUR AIR MINUM PERUSAHAAN DAERAH AIR MINUM TIRTAWENING KOTA BANDUNG PERIODE 2013-2017 ,http://jdih.net/bandung/web/pdfperda/Kepwal_690_Kep.991-PDAM_2013-PEMBENTUKAN TIM PENYELEKSI CALON DIRUT PDAM.pdf
Keputusan Walikota,690/KEP.067-BPLH,2013, TIM TEKNIS PENDATAAN DAN PERHITUNGAN NILAI PEROLEHAN AIR ,http://jdih.net/bandung/web/pdfperda/KepwaL_690_Kep.067-BPLH_2013 - TIM TEKNIS PENGHITUNGAN DAN PENETAPAN NILAI PEROLEHAN AIR-Perubahan Ira.pdf
Keputusan Walikota,690/KEP.1083-PDAM,2013, PENGESAHAN RENCANA KERJA DAN ANGGARAN PERUBAHAN PERUSAHAAN DAERAH AIR MINUM TIRTAWENING KOTA BANDUNG TAHUN 2013 ,-
Keputusan Walikota,660/KEP.061-BPLH,2013,DAFTAR CALON PESERTA LELANG YANG LULUS PRAKUALIFIKASI PENGADAAN BADAN USAHA SECARA PELELANGAN UMUM DALAM RANGKA PEMBANGUNAN INFRASTRUKTUR PENGELOLAAN SAMPAH BERBASIS TEKNOLOGI RAMAH LINGKUNGAN MELALUI MEKANISME KERJASAMA PEMERINTAH DAERAH DENGAN BADAN USAHA.,-
Keputusan Walikota,660/KEP.328-BPLH,2013,TIM ADIWIYATA KOTA BANDUNG.,http://jdih.net/bandung/web/pdfperda/Kepwal_660_Kep.328-BPLH_2013-Tim Adiwiyata Kota Bandung-SALINAN.zip
