lokasi,nama_komoditas,2016-11-01,2016-11-02,2016-11-03,2016-11-04,2016-11-05,2016-11-06,2016-11-07,2016-11-08,2016-11-09,2016-11-10,2016-11-11,2016-11-12,2016-11-13,2016-11-14,2016-11-15,2016-11-16,2016-11-17,2016-11-18,2016-11-19,2016-11-20,2016-11-21,2016-11-22,2016-11-23,2016-11-24,2016-11-25,2016-11-26,2016-11-27,2016-11-28,2016-11-29,2016-11-30
"Pasar Kosambi","Tepung Terigu",0,7500,0,7500,0,0,7500,0,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,0,0
"Pasar Kosambi","Bawang Putih",0,40000,0,40000,0,0,40000,0,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,0,0
"Pasar Kosambi","Cabe Keriting",0,70000,0,70000,0,0,70000,0,70000,80000,80000,0,0,80000,80000,80000,80000,80000,0,0,70000,70000,70000,70000,0,0,0,70000,0,0
"Pasar Kosambi","Cabe Rawit",0,50000,0,50000,0,0,50000,0,50000,75000,75000,0,0,70000,70000,0,65000,70000,0,0,70000,70000,70000,70000,70000,0,0,60000,0,0
"Pasar Kosambi","Kacang Tanah",0,30000,0,30000,0,0,30000,0,30000,28000,28000,0,0,28000,28000,28000,28000,28000,0,0,28000,28000,0,28000,28000,0,0,28000,0,0
"Pasar Kosambi","Ubi Kayu",0,4000,0,4000,0,0,4000,0,4000,4000,4000,0,0,4000,4000,4000,4000,4000,0,0,4000,4000,4000,4000,4000,0,0,4000,0,0
"Pasar Kosambi","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi",Jagung,0,10000,0,10000,0,0,10000,0,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,12000,0,0
"Pasar Kosambi","Ikan Olahan",0,70000,0,70000,0,0,0,0,70000,70000,70000,0,0,70000,70000,70000,70000,70000,0,0,70000,70000,70000,70000,70000,0,0,70000,0,0
"Pasar Kosambi","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi","Minyak Goreng Curah",0,12500,0,12500,0,0,12500,0,12500,12500,0,0,0,12500,12500,12500,12500,12500,0,0,12500,12500,12500,12500,12500,0,0,12500,0,0
"Pasar Kosambi","Daging Ayam Kampung",0,75000,0,75000,0,0,75000,0,75000,75000,75000,0,0,75000,75000,75000,75000,75000,0,0,75000,75000,75000,75000,75000,0,0,75000,0,0
"Pasar Kosambi","Telur Ayam Kampung",0,40000,0,40000,0,0,40000,0,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,0,0
