No,Nama Perusahaan,Alamat,Kelurahan,Tipe Perusahaan
1,PT JASA INTERNATIONAL MULTI FINANCE,Jl. Babakan Tarogong RT 01/06,Sukaasih,Bank
2,PT HANDAL LINTAS ANTAR NUSA ,Jl. Jamika Lama No.55 RT 01/07,Jamika,Perdagangan Umum
3,PT BANK SINAR MAS,Jl. Jamika No.42,Jamika,Bank
4,PT TIMUR RAYA KARYA MANDIRI,Jl. Tugu Kencana Ruko Kopo Mas Blok G,Sukaasih,Perdagangan Umum
5,PT ARTHA CHRISTA FARMASI,Jl. Kopo No.370 RT 01/04,Kopo,Jasa Lainnya
6,PT RUKUN BERKAT ABADI,Jl. Titian Kencana No.11,Sukaasih,Perdagangan Umum
7,PT MANDIRI GLOBAL ABADI,,,Perdagangan Umum
8,PT BALI NUANSA SUKSES PRATAMA,Jl. Jamika Lama No.58 RT 08/09,Jamika,Perdagangan Umum
9,PT GLORY MITRA INVESTEX,Mall Lingkar Selatan Kav. 49. Jl. Peta 241,Sukaasih,Jasa Lainnya
10,PT TWO WAY MEDIA IND,Jl. Tirta Kencana Timur No.3 RT 08/10,Sukaasih,Jasa Lainnya
11,PT SURYA AGUNG PRATAMA,Kopo Plaza A.23 RT 09/10,Sukaasih,Perdagangan Umum
12,PT CITRA IND. TRADING CORPORA,Peta Kopo Plaza Blok G-6 RT 05/08,Sukaasih,Perdagangan Umum
13,PT DIANA ALFA INDAH,Jl. Sukamulya RT 02/10,Sukaasih,Perdagangan Umum
14,PT FIRT INTERMITRA,Kopo Plaza Blok G-1 RT 05/09,Sukaasih,Jasa Lainnya
15,PT GLAMOUR INTERNATIONAL TRADING,Komp. Taman Lingkar Sel Blok I/I,,Perdagangan Umum
16,PT IMPERIAL UTAMA,Jl. Titian Kencana C-1 RT 08/10,Sukaasih,Perdagangan Umum
17,PT KAWAN LAMA SEJAHTERA,Ruko Kopo Plaza Blok A.5 Jl. Peta,Sukaasih,Perdagangan Umum
18,PT SUMBER ALFARIA TRIJAYA,Jl. Pagarsih 113,,Perdagangan Umum
19,PT INDOMARCO PRISMATAMA,Jl. Ters Pasirkoja 104 RT 07-80/08,Jamika,Perdagangan Umum
20,PT ARISTA MITRA LESTARI,Jl. Ters Pasirkoja No.62,Babakan Tarogong,Perdagangan Umum
21,PT SANITAS,Jl. Peta 163 RT 05/02,Sukaasih,Perdagangan Umum
22,PT BASIC ENTERTAINMENT,Jl. Pagarsih No.190 RT 10/03,,Jasa Lainnya
23,PT WEDE TETRA BERKAH AGRICONSULT PRATAMA,Jl. Batar 182 RT 01/05,Babakan Tarogong,Jasa Lainnya
24,PT BANGUN ETTA REALITY,Ruko Kopo Plaza Blok A No.8 RT 09/10,Sukaasih,Jasa Lainnya
25,PT ARISA MANDIRI PRATAMA,Jl. Jend. Sudirman 453 RT 03/03,Jamika,Jasa Lainnya
26,PT TELINTEK,Jl. Pagarsih 161 B RT.03/11,Jamika,Perdagangan Umum
27,PT GRAHA SERVICE INDONESIA,Jl. Kopo 338,Kopo,Jasa Lainnya
28,PT BUMINUSA SARI,Jl. Bbk Ciparay 189 RT 08/01,Kopo,Perdagangan Umum
29,PT JANGKARMAS INTIGRAHA,Jl. Pasirkoja 190 RT 02/06,Sukaasih,Perdagangan Umum
30,PT SUMBER ALFARIA TRIJAYA,Jl. Nensudli 85 RT 02/02,Jamika,Perdagangan Umum
31,PT SINAR HUTOMO PRATAMA,Gg. Siti Mariah 420 A/86 RT 03/02,Jamika,Jasa Lainnya
32,PT ALAMO PUTRA,Jl. Peta 162 RT 03/04,Sukaasih,Perdagangan Umum
33,PT IDEA BARU CEMERLANG (IBC),Jl. Titian Kencana Kopo Plaza D/6 RT 09/10,Babakan Asih,Perdagangan Umum
34,PT MYWILL ABHINAYA,Jl. Peta 252 C RT 03/06,Sukaasih,Jasa Lainnya
35,PT SURYA ABADI SISOLASI,Jl. Sendi Kencana Kopo Plaza A 21 ,Sukaasih,Perdagangan Umum
36,PT NUSA ISTANA ABADI,Jl. Jamika 88 RT 05/07,Jamika,Jasa Lainnya
37,PT NUANSA WISATA PERSADA,Jl. Jamika No.81 RT 01/06,Jamika,Jasa Lainnya
38,PT BUKIT UNGGUL KOKAS UTAMA,Jl. Peta Kopo Plaza Blok C 15,Sukaasih,Perdagangan Umum
39,PT DUTA RANGKA REKAYASA IND,Jl. Paseban Kencana BRT No.77 RT 09/07,Sukaasih,Konstruksi/Kontraktor
40,PT KHARISMA RADJA,Jl. Titian Kencana E3 RT 08/10,Sukaasih,Jasa Lainnya
41,PT JASA TELEKOMUNIKASI,Jl. Ters Pasirkoja 133 RT 07/02,Babakan Tarogong,Jasa Lainnya
42,PT SINAR GLORIA ABADI,Jl. Jend. Sudirman 335 RT 05/04,Jamika,Perdagangan Umum
43,PT BENTANG GUMILANG,Jl. Kopo 402 RT 01/03,Kopo,Perdagangan Umum
44,PT SUMBER ALFARIA TRIJAYA,Jl. Kopo RT 05/05,Kopo,Perdagangan Umum
45,PT EMPAT SATU MAKMUR PERKASA,Jl. Soekarno Hatta 250 RT 05/03,Kopo,Perdagangan Umum
46,PT ARISTA MITRA LESTARI,Jl. Ters Pasirkoja 116-117,Babakan Tarogong,Jasa Lainnya
47,PT PUTRA SEMAR SEJATI,Jl. Babakan Ciparay 343,Kopo,Perdagangan Umum
48,PT ROYAL CAKRAWALA MANDIRI,Jl. Kopo Kencana Ruko I.C RT 08/10,Sukaasih,Jasa Lainnya
49,PT SUMBER ALFARIA TRIJAYA,Jl. Bbk.101,Sukaasih,Perdagangan Umum
50,PT SURYA MEDIKA PERKASA,BUMI,,Perdagangan Umum
51,PT NURFRIGI,Jl. Kopo No. 200 RT 05/03,Babakan Asih,Perdagangan Umum
52,PT INDOMO MULYA,Ruko Kopo Plaza C.22 ,Sukaasih,Perdagangan Umum
53,PT KARYA UTAMA,Jl. Babakan Ciparay No.61 RT 04/07,Sukaasih,Perdagangan Umum
54,PT YOMART RUKUN SELALU,Jl. Kopo No.164 RT 04/03,Babakan Asih,Perdagangan Umum
55,PT BATAVIA PROSPERINDO FINANCE,Jl. Peta Lingkar Selatan Ruko Kopo Plaza,Sukaasih,Jasa Lainnya
56,PT SUMBER ALFARIA TRIJAYA,Jl. Kopo 246 RT 01/02,Sukaasih,Perdagangan Umum
57,PT GLOBAL TEXTILE SOLUTION,Kopo Plaza D-19 ,Sukaasih,Perdagangan Umum
58,PT RAJAWALI CIPTA,Jl. Kopo 166 RT 04/03,Babakan Asih,Perdagangan Umum
59,PT JAMPARING MASAGI,Jl. Babakan Ciparay No.67 RT 05/08,Sukaasih,Perdagangan Umum
60,PT TUNGGAL JAYA,Jl. Kopo Citarip Barat RT 010/0007,Kopo,Perdagangan Umum
61,PT PUTRA BAKRI MEGAH UTAMA,Jl. Peta, Ruko Kopo Plaza E.8 RT 09/10 Sukaasih,Perdagangan Umum
62,PT MOWILEX INDONESIA,Titian Kencana Blok M RT 09/10,Jamika,Jasa Lainnya
63,PT SEJAHTERA BANGUN RAHAYU,Jl. Peta No.241 RT 04/07,Sukaasih,Perdagangan Umum
64,PT VINATAMA MAS,Jl. Peta Kopo Plaza A.17 RT 09/10,Sukaasih,Perdagangan Umum
65,PT ANUGRAH SUMBER KEHIDUPAN,Jl. Peta No.241 RT 04/07,Sukaasih,Perdagangan Umum
66,PT SINAR MIITRA SEPADAN FINANCE,Jl. Peta Lingkar Selatan Blok F Kopo Plaza,Sukaasih,Jasa Lainnya
67,PT CHIWA INDONESIA,Jl. Peta Kopo Plaza G No.11,Sukaasih,Perdagangan Umum
68,PT OKTAPILAR ABADI,Jl. Kopo 300 RT 07/08,Kopo,Perdagangan Umum
69,PT FARREL FELIX PUTRA,Jl. Babakan Ciparay No.197 RT 03/12,Kopo,Konstruksi/Kontraktor
70,PT SOLUSI DAN PROPERTI,Komp. Kopo Plaza E-7,Sukaasih,Perdagangan Umum
71,PT GRIYA ADI KARYA NUGRAHA ,Komp. Kopo Plaza E-8,Sukaasih,Perdagangan Umum
72,PT MANDIRI TUNTAS FINANCE,Jl. Peta Lingkar Selatan Ruko Kopo Plaza C.10-11,Sukaasih,Jasa Lainnya
73,PT WAHANA INTI NUSA,Jl. Soekarno Hatta No.318,Kopo,Perdagangan Umum
74,PT DWI PILAR PERKASA,Jl. Peta No.104 RT 03/04,Sukaasih,Perdagangan Umum
75,PT SUCIFINDO ,Jl. Soekarno Hatta No.217 ,,Jasa Lainnya
76,PT TECTAMA KARYA,Jl. Soekarno Hatta No.270 RT 05/03,Kopo,Jasa Lainnya
77,PT CAHAYA BENTENG MAS,Jl. Peta No.254 RT 03/06,Sukaasih,Perdagangan Umum
78,PT INDO MITRA SAFARI,Jl. Luna IV No 354/1238 RT 14/01,Jamika,Jasa Lainnya
79,PT MEKAR AGUNG ABADI,Jl. Jend Sudirman No.447 RT 03/03,Jamika,Perdagangan Umum
80,PT WAHANA INTI NUSA,Jl. Ters Pasirkoja No.100,,Perdagangan Umum
81,PT ASURANSI SINAR MAS,Jl. Peta No.168 RT 03/04,Sukaasih,Jasa Lainnya
82,PT KARYA SASMITA,Jl. Babakan Tarogong No.256,,Perdagangan Umum
83,PT SOLUTION DIGITAL PRINTING,Jln. Pagarsih No.132,,Perdagangan Umum
84,PT PAPAN JAYA ANUGRAH,Jl. Jamika No.88 RT 05/07,Jamika,Jasa Lainnya
85,PT LEO ADVERTISING,Jl. Ters Pasir Koja RT 10/06,Babakan Tarogong,Perdagangan Umum
86,PT MAKMUR JAYA SUKSES,Jl. Kopo No.278,Kopo,Perdagangan Umum
87,PT DAMRI RAYA & PT PRIMA LESTARI WISMA,Jl. Peta No.261 RT 004/006,Sukaasih,Transportasi
88,PT GENTA KHATULISTIWA PERSADA,Jl. Ters Pasirkoja No.192,,Perdagangan Umum
89,PT WAHANA ALEKSINDO NUSANTARA,Jl. Ters Pasirkoja No.193,,Perdagangan Umum
90,PT ARIMBI JAYA AGUNG,Jl. Soekarno Hatta No.246 RT 02/02,Kopo,Transportasi
91,PT SAKTI KELOLA PERSADA,Jl. Peta No.241,Sukaasih,Jasa Lainnya
92,PT CAHAYA MAKMUR ABADI,Jl. Sudirman No.337 RT 05/04,,Perdagangan Umum
93,PT BANK DANAMON INDONESIA. TBK,Jl. Jamika No.21 RT 06/02 ,,Bank
94,PT OSCAR KREDIT EKSPRES,Jl. Cibadak No.293 ,,Jasa Lainnya
95,PT HERLYK EXPRESS,Jl. Peta Ruko Kopo Plaza Blok O-12A RT 09/10,Sukaasih,Jasa Lainnya
96,PT SENTRAL SANTOSA FINANCE,Jl. Lingkar Selatan Ruko Kopo Plaza Blok A-6,Sukaasih,Jasa Lainnya
97,PT CHIWA INDONESIA,Jl. Peta Ruko Kopo Plaza Blok G No.11,Sukaasih,Perdagangan Umum
98,PT CAHAYA PUTRA,Jl. Pagarsih No.125B RT 01/08,Jamika,Perdagangan Umum
99,PT PICASO LESTARI,Jl. Satar No.262 RT 10/06,Babakan Tarogong,Konstruksi/Kontraktor
100,PT GANESHA ECOMERCO SOLUTION,Jl. Kopo 372,,Perdagangan Umum
101,PT RIMBUN MENARA INDONESIA,Jl. Sukamulya No.179 RT 05/09,Sukaasih,Perdagangan Umum
102,PT MAKTAL MAKMUR MANDIRI,Jl. Jamika No.47 RT 01/01,Jamika,Perdagangan Umum
103,PT ASTRA INTERNASIONAL MULTI FINANCE,Jl. Bbk Tarogong RT 01/06,Babakan Tarogong,Perdagangan Umum
104,PT MENARA SAKTI ABADI,Jl. Tirta Kencana Brt B1 No.2,,Konstruksi/Kontraktor
105,PT INDAH CARGO,Jln. Soekarno Hatta No.233 RT 06/04,Kopo,Jasa Lainnya
106,PT PEMUDA FAJAR PERKASA,Jl. Jamika Lama No.55 RT 01/07,Jamika,Perdagangan Umum
107,PT KURNIA MEDIKA PERSADA,Jl. Bbk Tarogong No. 216 RT 04/05,,Jasa Lainnya
108,PT SETIA REJEKI,Ruko Kopo Plaza Blok C. No 12,Sukaasih,Perdagangan Umum
109,PT INTI SOLID,Jl. Situ Gunting Timur I No3 RT 07/08,Sukaasih,Perdagangan Umum
110,PT DATA SOLUSI INTI PRATAMA,Jl. Kopo No 300A RT 07/08,Kopo,Jasa Lainnya
111,PT ASIA BANGUN PERKASA,Jl. Peta No.164,Sukaasih,Perdagangan Umum
112,PT ILA ABADI,Jl. Bbk Ciparay No.274,,Jasa Lainnya
113,PT WAHANA KARSA SINERGI,Jl. Paseban Kencana Tengah B.8 No 90 RT 09/07,Sukaasih,Perdagangan Umum
114,PT GRATIKA LOKA CITRA,Jl. Jend Sudirman No.427 RT 02/03,,Jasa Lainnya
