NO.,JENIS POHON ,JUMLAH POHON ,TITIK LOKASI (RT dan RW),KELURAHAN 
1,MAHONI,50 POHON,JL. SOEKARNO-HATTA (KIRI),KOPO
2,MAHONI,40 POHON,JL. KOPO (KIRI),KOPO
3,PRODUKTIF,100 POHON,JL. KOPO (KIRI),BABAKAN ASIH
4,TANAMAN HIAS,50 POHON,JL. BABAKAN TAROGONG (KIRI),BABAKAN ASIH
5,MAHONI,30 POHON,JL. PETA (R.KANAN),SUKAASIH
6,MAHONI,5 POHON,JL. KOPO (KIRI),SUKAASIH
7,MAHONI,20 POHON,JL. JAMIKA (R.KANAN),JAMIKA
8,PALEM,25 POHON,JL. SUDIRMAN,JAMIKA
9,MAHONI,20 POHON,JL. PAGARSIH,JAMIKA
10,PALEM,10 POHON,JL. CIBADAK,JAMIKA
11,MAHONI,30 POHON,JL. JAMIKA,TAROGONG
12,KISANA,50 POHON,JL. TERUSAN PASIRKOJA (KANAN),TAROGONG
13,BERINGIN,50 POHON,JL. TERUSAN PASIRKOJA (KIRI),TAROGONG
14,MAHONI,50 POHON,JL. BABAKAN TAROGONG,TAROGONG
