NO,MATA PENCAHARIAN,LAKI-LAKI,PEREMPUAN,JUMLAH
1,Pegawai Negeri Sipil,32,6,38
2,TNI / POLRI,6,0,6
3,Pegawai Swasta,781,511,1292
4,Tani,2,0,2
5,Dagang,440,264,704
6,Pelajar,632,578,1210
7,Mahasiswa,108,84,192
8,Pensiunan,24,12,36
9,Lain-lain,1126,1514,2640
,JUMLAH,3151,2969,6120
