NO,KELURAHAN,NAMA POSYANDU,RW
1,GARUDA,TERATAI,01
,,GARUDA,02
,,FLAMBOYAN 1,03
,,FLAMBOYAN 2,03
,,MELATI 1,04
,,MELATI 2,04
,,SEDAP MALAM,05
,,ANGGREK,06
2,MALEBER,NUSA INDAH,01
,,ANGGREK,02
,,MEKAR ARUM I,03
,,MEKAR ARUM II,03
,,CENDRAWASIH,04
,,MEKAR SARI,05
,,SAUYUNAN I,06
,,SAUYUNAN II,06
,,GELATIK I,07
,,GELATIK II,07
,,BINANGKIT I,08
,,BINANGKIT II,08
,,KASUARI,09
,,MELATI,10
,,PEPAYA,11
3,CAMPAKA,MULIA,01
,,SARTIKA I,02
,,SARTIKA II,02
,,KATALINA,03
,,FLAMBOYAN,04
,,ANGGREK,05
,,MAWAR MEKAR I,06
,,MAWAR MEKAR II,06
,,SAKURA I,07
,,SAKURA II,07
4,KEBON JERUK,ANGGREK,01
,,MAWAR I,02
,,MAWAR II,02
,,MUTIARA I,03
,,MUTIARA II,03
,,ANGGREK MERPATI,05
,,MELATI,06
,,FLAMBOYAN,07
,,TULIP I,08
,,TULIP II,08
,,KEMUNING,09
5,DUNGUSCARING,WIJAYA KUSUMAH,01
,,MELATI I,02
,,MELATI II,02
,,BERINGIN,03
,,DAHLIA,04
,,MAWAR,05
,,SAKURA I,06
,,SAKURA II,06
,,RAJAWALI I,07
,,RAJAWALI II,07
,,ASTER MURNI,08
,,BUNGA TANJUNG,09
,,BUNGA SERUNI,10
,,PELITA I,11
,,PELITA II,11
6,CIROYOM,MAWAR I,01
,,MAWAR II,01
,,MELATI,02
,,MELATI I,03
,,MELATI II,03
,,TULIP,04
,,MELATI I,05
,,MELATI II,05
,,ASTER I,06
,,ASTER II,06
,,DAHLIA I,07
,,DAHLIA II,07
,,CEMPAKA I,08
,,CEMPAKA II,08
,,MAWAR I,09
,,MAWAR II,09
,,SEJAHTERA I,10
,,SEJAHTERA II,10
