BULAN,Penduduk Pindah Datang,Penduduk Pengikut Pindah Datang
Januari,1910,1889
Februari,1605,1211
Maret,1861,2125
April,1997,1830
Mei,1914,2115
Juni,1831,3102
Juli,1278,1016
Agustus,1744,1023
September,1751,846
Oktober,1649,851
November,1757,883
Desember,1595,926
