No.,JENIS USAHA,ALAMAT,TAHUN BERDIRI ,JML KARYAWAN,AKTIF / TDK ,KET
1,Warung sipa,Jl.Babakan Ciamis RT.02/RW.03,2004,3 orang,Aktif,Kel.Bbk Ciamis
2,Material/bangunan,Jl. Banda no 143,1994,3 orang,Aktif,Kel.Bbk Ciamis
3,Percetakan/penerbit,Jl.Tongkeng no 148,1994,3 orang,Aktif,Kel.Bbk Ciamis
4,Gudeg jogja,Jl Bangka depan kodim,1990,3 orang,Aktif,Kel.Bbk Ciamis
5,Produksi kerupuk getas,Jl.Bangka,1995,2 orang,Aktif,Kel.Bbk Ciamis
6,Produksi keripik singkong,Jl.Menado No.16,2000,2 orang,Aktif,Kel.Bbk Ciamis
7,warung nasi,Jl.Tongkeng ,1999,2 orang,Aktif,Kel.Bbk Ciamis
8,kios baso,Jl.Tongkeng ,2000,2 orang,Aktif,Kel.Bbk Ciamis
9,warung sembako,Jl.Lombok,2003,2 orang,Aktif,Kel.Bbk Ciamis
10,warung nasi,Jl.Lombok No.2 s,1983,2 orang,Aktif,Kel.Bbk Ciamis
11,Toko kelontongan ,Jl.Lombok no. 8 s,2000,2 orang,Aktif,Kel.Bbk Ciamis
12,Toko kelontongan ,Jl.Tongkeng No.48,1999,2 orang,Aktif,Kel.Bbk Ciamis
13,Toko kelontongan ,Jl.Patrakomala,1997,3 orang,Aktif,Kel.Bbk Ciamis
14,Toko minuman ,Jl. Lombok,2000,2 orang,Aktif,Kel.Bbk Ciamis
15,warung nasi,Jl.Gudang Utara,1996,2 orang,Aktif,Kel.Bbk Ciamis
16,Minuman ringan ,Jl.Bali No 15,2000,2 orang,Aktif,Kel.Bbk Ciamis
17,Kue basah,Jl.Bangka No 9,2000,2 orang,Aktif,Kel.Bbk Ciamis
18,Simpan Pinjam,Jl.Baranang siang No.15,1999,2 orang,Aktif,Kel.Bbk Ciamis
19,Makanan ternak,ZJl.Baranang siang No.116,2001,2 orang,Aktif,Kel.Bbk Ciamis
20,Kelontong,Jl.Baranang siang RT.02/06,2000,2 orang,Aktif,Kel.Bbk Ciamis
21,Tas ,Jl.Baranang siang 128/54B,1999,2 orang,Aktif,Kel.Bbk Ciamis
22,Pejahit,Jl.Buton Dalam No.20,1999,20 orang,Aktif,Kel.Bbk Ciamis
23,Kerupuk Bawang,Jl.Cibunut No.36,2000,2 orang,Aktif,Kel.Bbk Ciamis
24,Pakaian / makanan ,Jl.CibunutNo.171,2001,2 orang,Aktif,Kel.Bbk Ciamis
25,Kelontong/makanan ringan,Jl.CibunutNo.248/34B,1999,2 orang,Aktif,Kel.Bbk Ciamis
26,warung sembako,Jl.CibunutNo.200/34/b,2000,2 orang,Aktif,Kel.Bbk Ciamis
27,Roti bakar,Jl.Gudang selatan No.7 ,1998,2 orang,Aktif,Kel.Bbk Ciamis
28,Pindang,Pasar kosambi,2000,2 orang,Aktif,Kel.Bbk Ciamis
29,Baso cuanki,Jl.Patrakomala,2001,2 orang,Aktif,Kel.Bbk Ciamis
30,Kue basah,Jl.Sumbawa No11 RT 01/02,2002,2 orang,Aktif,Kel.Bbk Ciamis
31,warung sembako,Jl.Sumbawa No.10,1997,3 orang,Aktif,Kel.Bbk Ciamis
32,catering,Jl.Sumbawa No.73,1999,8 orang,Aktif,Kel.Bbk Ciamis
33,Makanan /minuman,Jl.surareja RT.05/09,2000,10 orang,Aktif,Kel.Bbk Ciamis
34,Makanan /minuman,Jl.surareja 167/34B,2001,3 orang,Aktif,Kel.Bbk Ciamis
35,Kaos rajutan,Jl.surareja 157/34B,1999,4 orang,Aktif,Kel.Bbk Ciamis
36,warung sembako,Gg.Apandi34,2004,2 orang,Aktif,Kel.Bbk Ciamis
37,Barang jadi,Gg.Apandi 136/11a,2003,2 orang,Aktif,Kel.Bbk Ciamis
38,Warung sipa,Jl.Babakan Ciamis RT.02/RW.03,2004,3 orang,Aktif,Kel.Merdeka
39,Material/bangunan,Jl. Banda no 143,1994,3 orang,Aktif,Kel.Merdeka
40,Percetakan/penerbit,Jl.Tongkeng no 148,1994,3 orang,Aktif,Kel.Merdeka
41,Gudeg jogja,Jl Bangka depan kodim,1990,3 orang,Aktif,Kel.Merdeka
42,Produksi kerupuk getas,Jl.Bangka,1995,2 orang,Aktif,Kel.Merdeka
43,Produksi keripik singkong,Jl.Menado No.16,2000,2 orang,Aktif,Kel.Merdeka
44,warung nasi,Jl.Tongkeng ,1999,2 orang,Aktif,Kel.Merdeka
45,kios baso,Jl.Tongkeng ,2000,2 orang,Aktif,Kel.Merdeka
46,warung sembako,Jl.Lombok,2003,2 orang,Aktif,Kel.Merdeka
47,warung nasi,Jl.Lombok No.2 s,1983,2 orang,Aktif,Kel.Merdeka
48,Toko kelontongan ,Jl.Lombok no. 8 s,2000,2 orang,Aktif,Kel.Merdeka
49,Toko kelontongan ,Jl.Tongkeng No.48,1999,2 orang,Aktif,Kel.Merdeka
50,Toko kelontongan ,Jl.Patrakomala,1997,3 orang,Aktif,Kel.Merdeka
51,Toko minuman ,Jl. Lombok,2000,2 orang,Aktif,Kel.Merdeka
52,warung nasi,Jl.Gudang Utara,1996,2 orang,Aktif,Kel.Merdeka
53,Minuman ringan ,Jl.Bali No 15,2000,2 orang,Aktif,Kel.Merdeka
54,Kue basah,Jl.Bangka No 9,2000,2 orang,Aktif,Kel.Merdeka
55,Simpan Pinjam,Jl.Baranang siang No.15,1999,2 orang,Aktif,Kel.Merdeka
56,Makanan ternak,ZJl.Baranang siang No.116,2001,2 orang,Aktif,Kel.Merdeka
57,Kelontong,Jl.Baranang siang RT.02/06,2000,2 orang,Aktif,Kel.Merdeka
58,Tas ,Jl.Baranang siang 128/54B,1999,2 orang,Aktif,Kel.Merdeka
59,Pejahit,Jl.Buton Dalam No.20,1999,20 orang,Aktif,Kel.Merdeka
60,Kerupuk Bawang,Jl.Cibunut No.36,2000,2 orang,Aktif,Kel.Merdeka
61,Pakaian / makanan ,Jl.CibunutNo.171,2001,2 orang,Aktif,Kel.Merdeka
62,Kelontong/makanan ringan,Jl.CibunutNo.248/34B,1999,2 orang,Aktif,Kel.Merdeka
63,warung sembako,Jl.CibunutNo.200/34/b,2000,2 orang,Aktif,Kel.Merdeka
64,Roti bakar,Jl.Gudang selatan No.7 ,1998,2 orang,Aktif,Kel.Merdeka
65,Pindang,Pasar kosambi,2000,2 orang,Aktif,Kel.Merdeka
66,Baso cuanki,Jl.Patrakomala,2001,2 orang,Aktif,Kel.Merdeka
67,Kue basah,Jl.Sumbawa No11 RT 01/02,2002,2 orang,Aktif,Kel.Merdeka
68,warung sembako,Jl.Sumbawa No.10,1997,3 orang,Aktif,Kel.Merdeka
69,catering,Jl.Sumbawa No.73,1999,8 orang,Aktif,Kel.Merdeka
70,Makanan /minuman,Jl.surareja RT.05/09,2000,10 orang,Aktif,Kel.Merdeka
71,Makanan /minuman,Jl.surareja 167/34B,2001,3 orang,Aktif,Kel.Merdeka
72,Kaos rajutan,Jl.surareja 157/34B,1999,4 orang,Aktif,Kel.Merdeka
73,warung sembako,Gg.Apandi34,2004,2 orang,Aktif,Kel.Merdeka
74,Barang jadi,Gg.Apandi 136/11a,2003,2 orang,Aktif,Kel.Merdeka
75,Warung jajanan ,Jl.Buton Dalam RW 03,-,1 orang,Aktif,Kel.Kbn Pisang
76,Warung jajanan ,Jl.Buton Dalam RW 03,-,1 orang,Aktif,Kel.Kbn Pisang
77,Warung jajanan ,Jl.Buton Dalam RW 03,-,1 orang,Aktif,Kel.Kbn Pisang
78,Kios jajanan ,Jl.Veteran RW 03,-,1 orang,Aktif,Kel.Kbn Pisang
79,Mie rebus,Jl.Veteran RW 03,-,1 orang,Aktif,Kel.Kbn Pisang
80,Kios jajanan ,Jl.Veteran RW 03,-,1 orang,Aktif,Kel.Kbn Pisang
81,Kios jajanan ,Jl.Veteran RW 03,-,1 orang,Aktif,Kel.Kbn Pisang
82,Kios jajanan ,Jl.Natuna RW 03,-,1 orang,Aktif,Kel.Kbn Pisang
83,Warung jajanan ,Jl.Buton Dalam RW 03,-,1 orang,Aktif,Kel.Kbn Pisang
84,Warung jajanan ,Jl.Ramli RW 04,-,1 orang,Aktif,Kel.Kbn Pisang
85,Warung jajanan ,Jl.Haur Kuning RT.01/05,-,1 orang,Aktif,Kel.Kbn Pisang
