NO,NAMA SARANA PENDIDIKAN,STATUS,JUMLAH KEPALA SEKOLAH,JUMLAH GURU TETAP,JUMLAH GURU HONORER,JUMLAH GURU BANTU,JUMLAH GURU KESELURUHAN,JUMLAH MURID LAKI-LAKI,JUMLAH MURID PEREMPUAN,JUMLAH MURID KESELURUHAN,JUMLAH RUANG BELAJAR,JUMLAH ROMBONGAN BELAJAR,ALAMAT
1,STIKES,Swasta,1,9,-,-,10,,,36,3,6,RS Immanuel RW 02 Kel. Situsaeur
2,STIMIK Madira Indonesia,Swasta,1,23,-,-,24,,,304,-,12,Jl. Soekarno Hatta Kel. Situsaeur
3,STIE KRIDATAMA,Swasta,1,8,-,-,9,,,11,-,-,Jl. Borobudur RW 02 Kel. Cib Kidul
