Sektor ,LPE,Kelompok
Pertanian,6.12,2
Pertambangan dan Penggalian,- ,-
Industri Pengolahan,3.18,2
"Listrik, Gas dan Air Bersih",10.86,1
Konstruksi,13.33,1
"Perdagangan,Hotel dan Restoran",11.58,1
Pengangkutan dan Komunikasi,10.92,1
"Keuangan, Persewaan & JasaPerusahaan",9.54,1
Jasa-jasa,7.43,2
