id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
3596616,"Belanja Modal Printer",25000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"Pengelolaan Bandung Command Center",Modal,Barang,"1 Paket","Dinas Komunikasi dan Informatika Kota Bandung","Pengelolaan Bandung Command Center",APBD," 25000000",1.25.1.25.01.15.09.5.2.3.29.05,"Pengadaan Langsung",04-05-2015,13-05-2015,13-05-2015,27-05-2015
3435989,"Belanja Modal PC",12000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"Pengadaan Perlengkapan Peralatan Aparatur",Modal,Barang,"2 Unit","Dinas Komunikasi dan Informatika Kota Bandung","Belanja Modal PC",APBD," 12000000",1.25.1.25.01.02.12.5.2.3.29.02,"Pengadaan Langsung",06-04-2015,10-04-2015,10-04-2015,15-04-2015
3426297,"Belanja Modal Pengadaan Lemari Es/Kulkas",10000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"Penyediaan peralatan rumah tangga",Barang/jasa,Barang,"1 Unit","Dinas Komunikasi dan Informatika Kota Bandung","Belanja Modal Pengadaan Lemari Es/Kulkas",APBD," 10000000",1.25.1.25.01.01.14.5.2.3.28.06,"Pengadaan Langsung",06-04-2015,10-04-2015,10-04-2015,15-04-2015
3596286,"Belanja Modal Pengadaan Peralatan Server GPS",172600000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"Pengelolaan Bandung Command Center",Modal,Barang,"1 Paket","Dinas Komunikasi dan Informatika Kota Bandung","Pengelolaan Bandung Command Center",APBD," 172600000",1.25.1.25.01.15.09.5.2.3.29.03,"Pengadaan Langsung",04-05-2015,13-05-2015,14-05-2015,28-05-2015
3597842,"Belanja Modal Pengadaan Sistem Monitor/Pemantau dan Video Management System",1900000000,"Lelang Umum",APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"Pengelolaan Bandung Command Center",Modal,Barang,"1 Paket","Dinas Komunikasi dan Informatika","Pengelolaan Bandung Command Center",APBD," 1900000000",1.25.1.25.01.15.09.5.2.3.31.05,"Lelang Umum",06-04-2015,17-04-2015,17-04-2015,03-06-2015
3436084,"Belanja Notebook Macbook Air",16500000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"Pengadaan Perlengkapan Peralatan Aparatur",Modal,Barang,"1 Unit","Dinas Komunikasi dan Informatika Kota Bandung","Belanja Notebook Macbook Air",APBD," 16500000",1.25.1.25.01.02.12.5.2.3.29.04,"Pengadaan Langsung",06-04-2015,10-04-2015,10-04-2015,15-04-2015
3435897,"Belanja Modal Pengadaan Proyektor",85000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"Pegadaan Perlengkapan Peralatan Aparatur",Modal,Barang,"1 Paket","Dinas Komunikasi dan Informatika Kota Bandung","Belanja Modal Pengadaan Proyektor",APBD," 85000000",1.25.1.25.01.02.12.5.2.3.27.05,"Pengadaan Langsung",13-04-2015,17-04-2015,17-04-2015,22-04-2015
3585231,"Belanja Sertifikasi Digital Map",50000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"Pengelolaan Bandung Command Center",Barang/jasa,"Jasa Lainnya","1 Paket","Dinas Komunikasi dan Informatika","Pengelolaan Bandung Command Center",APBD," 50000000",1.25.1.25.01.15.09.5.2.2.03.08,"Pengadaan Langsung",13-04-2015,20-04-2015,20-04-2015,11-05-2015
3434930,"Belanja Modal Peralatan dan Mesin   Pengadaan Kendaraan Bermotor Penumpang",310500000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"Pengadaan mobil jabatan",Modal,Barang,"1 Unit","Dinas Komunikasi dan Informatika Kota Bandung","Pengadaan mobil jabatan",APBD," 310500000",1.25.1.25.01.02.04.5.2.3.17.02,E-Purchasing,09-03-2015,18-03-2015,19-03-2015,17-04-2015
3461499,"Belanja Pemeliharaan Gedung dan Bangunan",100000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"Pengkajian dan pengembangan sistem informasi",Barang/jasa,"Pekerjaan Konstruksi","1 Paket","Dinas Komunikasi dan Informatika Kota Bandung","Belanja Pemeliharaan Gedung dan Bangunan",APBD," 100000000",1.25.1.25.01.15.06.5.2.2.20.05,"Pengadaan Langsung",03-03-2015,09-03-2015,09-03-2015,09-04-2015
