nomor_izin,bulan_pengajuan,tahun_pengajuan,jenis_izin,nama_perusahaan,alamat_perusahaan,tgl_akhir,longitude,latitude
0001/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. SELARAS MULTIARSI KONSULTAN,PURWAKARTA IX 8,01/03/2019,107.6519638,-6.9131245
0001/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. YAIKA GEMA UTAMA,ALEXANDRI 9,01/03/2019,107.6238227,-6.941496315
0001/IG/IX/2015/BPPT,September,2015,Izin Gangguan,CV. TRIASA,BUAH BATU 72,01/09/2018,107.6243193,-6.9386241
0001/IG/IX/2015/BPPT,September,2015,Izin Gangguan,"KOPKAR \TIRTA KARYA\"" PDAM TIRTAWENING KOTA BANDUNG""",BADAK SINGA 10,01/09/2018,107.6105626,-6.896430696
0001/IG/IX/2015/BPPT,September,2015,Izin Gangguan,CV. MEKAR MULYA,CIBIRU S\/D MANISI 35,01/09/2018,107.7217112,-6.934150814
0001/IG/VII/2015/BPPT,Juli,2015,Izin Gangguan,HARMONI,KELENTENG 38,01/07/2018,108.044843,-6.896332365
0001/IG/VII/2015/BPPT,Juli,2015,Izin Gangguan,PT. BANGUN EMAS PERSADA,SUNIARAJA 32,01/07/2018,107.6053629,-6.9169321
0001/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,CV. TEGUH MULTI JAYA BAJA,SOEKARNO HATTA 488-A,01/12/2018,107.576047,-6.924753117
0002/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,KOPERASI KONSUMEN PEGAWAI DAN PENSIUNAN PT. PLN ( PERSERO ) AREA BANDUNG,SOEKARNO HATTA 441-A,05/01/2019,107.6099818,-6.948520428
0002/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,MULYA JAYA,TAGOG -,01/03/2019,107.6191228,-6.9174639
0002/IG/IX/2015/BPPT,September,2015,Izin Gangguan,PD. MUDA MULYANA,BOJONG RAYA 83 - 85,01/09/2018,107.5673259,-6.927449711
0002/IG/IX/2015/BPPT,September,2015,Izin Gangguan,D.M,CIBUNTU SAYURAN -,01/09/2018,107.57426,-6.9241
