NO,NAMA SARANA PENDIDIKAN,STATUS,JUMLAH KEPALA SEKOLAH,JUMLAH GURU TETAP,JUMLAH GURU HONORER,JUMLAH GURU BANTU,JUMLAH GURU KESELURUHAN,JUMLAH MURID LAKI-LAKI,JUMLAH MURID PEREMPUAN,JUMLAH MURID KESELURUHAN,JUMLAH RUANG BELAJAR,JUMLAH ROMBONGAN BELAJAR,ALAMAT
1,LP Yudistira,Swasta,1,,,,,,,,,,
2,PK Ria,Swasta,1,,,,,,,,,,
3,PK  Ria,Swasta,1,,,,,,,,,,
4,PK Renta,Swasta,1,,,,,,,,,,
5,PK OCI,Swasta,1,,,,,,,,,,
6,PK Berkat,Swasta,1,,,,,,,,,,
