"nomor_izin","jenis_izin","nama_perusahaan","alamat_perusahaan","tgl_akhir","longitude","latitude"
"0027/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","CV. TRIKARYA ABADI"," SOEKARNO HATTA 478","08/03/2019","107.6299251","-6.949359439"
"0095/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","CV. ZOOM"," BUMI PARAKAN ASRI A-3","08/03/2019","107.6733269","-6.929658"
"0099/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","CV. DEVYNA"," MENGGER GIRANG IV 1","08/03/2019","107.6179829","-6.9515505"
"0060/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","CV. SUKA JAYA SENTOSA"," GG. SUKAPAKIR DALAM III 228\/87","08/03/2019","107.6005834","-6.918145547"
"0094/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","WR. AOS"," TERUSAN SURYANI 24-C","08/03/2019","107.5950902","-6.927006864"
"0028/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","CV. SAPTA PRATAMA"," GADING BARAT III 14","08/03/2019","107.6710987","-6.9369239"
"0098/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","PT. MENTARI FREIGHT SERVICES BANDUNG"," VENUS BARAT 14 KAV 12","08/03/2019","107.6659507","-6.9399412"
"0062/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","PT. NURMALA MITRA SEJATI"," KIARACONDONG 326","08/03/2019","107.6424081","-6.9347935"
"0061/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","CV. JOINT VENTURE"," SUKAJADI 112","08/03/2019","107.5969731","-6.8911483"
"0092/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","CV. SAMUDRA"," TERUSAN BUAH BATU 14 KOMP PU BLOK C-3","08/03/2019","107.6191228","-6.9174639"
"0093/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","CV. KARYA BUANA TEKNIK"," KILIMANJARO 183 PINUS REGENCY","08/03/2019","107.6833265","-6.932699"
"0259/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","PT. AVANT GARDE"," SUKAMULYA INDAH 10","29/03/2019","107.5849249","-6.8856953"
"0191/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","PT. EDURES  GLOBAL LINK"," TERUSAN JAKARTA 408 PURI DAGO","29/03/2019","-6.917269961","107.6688593"
"0252/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","PRIMA"," SURYA SUMANTRI 58","28/03/2019","107.5817218","-6.88650234"
"0254/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","CV. DEKACE MOTEKAR"," KUBANG UTARA II 10","29/03/2019","107.6175269","-6.88672221"
"0215/TDP/IV/2016/BPPT","Tanda Daftar Perusahaan","CV.ANUGERAH"," MENTOR 75","21/04/2019","107.5697487","-6.8925017"
"0129/TDP/IV/2016/BPPT","Tanda Daftar Perusahaan","PT. HARJA GUNATAMA LESTARI\BORMA"," A. H. NASUTION 137","13/04/2019","107.6629682","-6.9037447"
"0253/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","CV.PATRA IDEA"," NAYAGA 27","29/03/2019","107.633257","-6.9386736"
"0261/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","HAWARI"," OTO ISKANDARDINATA 525","29/03/2019","107.6191228","-6.9174639"
"0257/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","CV CYBER INTI GAPURA SILIWANGI"," JENDERAL SUDIRMAN GANG MANUNGGAL NO. 67\/188A","29/03/2019","107.5693839","-6.911925484"
"0260/TDP/III/2016/BPPT","Tanda Daftar Perusahaan","PT.CAKRA LIMA PAMUNGKAS"," WAAS C-12","29/03/2019","107.6276426","-6.951537572"
