"nomor_izin","jenis_izin","nama_perusahaan","alamat_perusahaan","tgl_akhir","longitude","latitude"
"0088/TDP/VIII/2015/BPPT","Tanda Daftar Perusahaan","PT. SINARJAYA RIMBAWAN ASRI"," SOEKARNO HATTA 835 (BARU NO. 24)","31/08/2018","107.5744435","-6.9209342"
"0065/TDP/VIII/2015/BPPT","Tanda Daftar Perusahaan","PT. PERINTIS PELAYANAN PARIPURNA"," PURNAWARMAN 13-15 LUAC 09","31/08/2018","107.6093357","-6.9080365"
"0063/TDP/VIII/2015/BPPT","Tanda Daftar Perusahaan","PT. JAYA MAKMUR GLOBALINDO"," A. H. NASUTION 91","31/08/2018","107.6638516","-6.903328869"
"0006/TDP/IX/2015/BPPT","Tanda Daftar Perusahaan","PT. ANEKA PRODUKSI NUSAJAYA"," GG. SLAMET 6","02/09/2018","107.6455058","-6.907784"
"0004/TDP/IX/2015/BPPT","Tanda Daftar Perusahaan","PT. RAMINDO INDAH"," JEND.AHMAD YANI 245","02/09/2018","107.6387846","-6.9110744"
"0010/TDP/IX/2015/BPPT","Tanda Daftar Perusahaan","CV. TUNGGAL PANCA USAHA"," GALAXI RAYA 12","03/09/2018","-6.9174639","107.6191228"
"0004/TDP/IX/2015/BPPT","Tanda Daftar Perusahaan","PT.CIRCLEKA INDONESIA UTAMA"," CIUMBULEUIT 151","03/09/2018","107.6037374","-6.878612436"
"0002/TDP/IX/2015/BPPT","Tanda Daftar Perusahaan","PT.CIRCLEKA INDONESIA UTAMA"," BRAGA 91 - 97","03/09/2018","107.6093851","-6.917417318"
"0014/TDP/X/2015/BPPT","Tanda Daftar Perusahaan","ANJAYA SEJATI"," ANCOL TENGAH 37\/102","07/10/2018","107.6151746","-6.933482337"
"0043/TDP/X/2015/BPPT","Tanda Daftar Perusahaan","YANI"," JEND.AHMAD YANI 122","07/10/2018","107.6212723","-6.920464408"
"0050/TDP/X/2015/BPPT","Tanda Daftar Perusahaan","SINAR SARI"," JEND.AHMAD YANI 187","07/10/2018","107.6235711","-6.919169001"
"0045/TDP/X/2015/BPPT","Tanda Daftar Perusahaan","CV. GESWINN INDONESIA"," ADIMAJA 179\/22A","07/10/2018","107.5988388","-6.922478971"
"0046/TDP/X/2015/BPPT","Tanda Daftar Perusahaan","PT. BUSANA CEMERLANG GARMENT INDUSTRI"," MEKAR RAYA KAV 26","07/10/2018","107.7147518","-6.94018388"
"0016/TDP/X/2015/BPPT","Tanda Daftar Perusahaan","CV.SOFA SURYA CEMERLANG"," PAMEKAR BARAT XI 346","07/10/2018","107.6986094","-6.930655985"
"0181/TDP/X/2015/BPPT","Tanda Daftar Perusahaan","CV GLOBAL MULTI MAKMUR"," RANCAKASUMBA -","30/10/2018","107.6191228","-6.9174639"
"0063/TDP/X/2015/BPPT","Tanda Daftar Perusahaan","CV OMEGA JAYA LESTARI"," BKR 188-190","21/10/2018","107.6071534","-6.9374494"
"0082/TDP/X/2015/BPPT","Tanda Daftar Perusahaan","CV. BIKERS ROAD CAPTAIN"," SOEKARNO HATTA 607","23/10/2018","-6.944744619","107.644026"
"0076/TDP/X/2015/BPPT","Tanda Daftar Perusahaan","CV ARIZTA"," PANUTAN III 3","23/10/2018","107.6191228","-6.9174639"
"0180/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","KIOS SINAR AGUNG"," KEBON JATI 163","23/12/2018","107.5907382","-6.9151223"
"0066/TDP/I/2016/BPPT","Tanda Daftar Perusahaan","PT. SURYA INDO SINGA"," KEBON JATI 90","11/01/2019","107.5973728","-6.916378411"
"0208/TDP/XI/2015/BPPT","Tanda Daftar Perusahaan","PT. MISOLS KARSATAMA"," ARCAMANIK ENDAH RAYA 40","30/11/2018","107.6766778","-6.9159505"
"0006/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT. HALEYORA POWERINDO"," PHH. MUSTOPA 45","02/12/2018","107.6191228","-6.9174639"
"0029/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT. GLOBAL DINAMIKA KENCANA"," SURAPATI 5","02/12/2018","107.6140536","-6.898642619"
"0025/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT. SURYA FOKUS TEKNOLOGI"," AWI GOMBONG 19","02/12/2018","107.6191228","-6.9174639"
"0028/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","BINTANG TERANG"," JENDERAL SUDIRMAN 396","02/12/2018","107.6191228","-6.9174639"
"0077/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","ISTANA ALUMUNIUM"," PETA 77-79-81","08/12/2018","107.6191228","-6.9174639"
"0022/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","CV.SUMBER RIZKY"," MULYA GRAHA III 57","02/12/2018","107.6640512","-6.9584969"
"0020/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","HOKI GARMENT"," MENGGER GIRANG 29-33","02/12/2018","107.6164037","-6.9507456"
"0006/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","LOTUS"," NANA ROHANA 25","01/12/2018","107.5772215","-6.9210684"
"0004/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","INDAHTEX"," TAMIM 61","01/12/2018","107.6031353","-6.919583772"
"0024/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","INTI KARYA"," PUNGKUR 72","02/12/2018","107.6082722","-6.9276082"
"0001/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PACIFIC"," ASTANA ANYAR 47","01/12/2018","107.6191228","-6.9174639"
"0008/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT. OXI LIQUINDO PRATAMA"," TERUSAN RUMAH SAKIT 139 ( BLOK B.VI SAPIR PERMAI)","01/12/2018","107.7014482","-6.9324445"
"0019/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","TIGA"," BANCEUY 64","02/12/2018","107.6064674","-6.917561458"
"0008/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","CV. TETAP JAYA"," JENDERAL SUDIRMAN 86\/III GANG MUKALMI","01/12/2018","107.5679512","-6.9240631"
"0003/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT. FEBRIAN INDONESIA"," CIGADUNG RAYA BARAT 6","01/12/2018","107.6226086","-6.8714105"
"0021/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","KURUMA MOTOR"," TERUSAN BUAH BATU 203-205","02/12/2018","107.6191228","-6.9174639"
"0002/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","CV BLESINDO MEGA UTAMA"," NARIPAN 110","01/12/2018","107.6191228","-6.9174639"
"0110/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","CV. PRAJA KARYA UTAMA"," LEMBAH SUKA RESMI II 7","14/12/2018","107.5924006","-6.87934462"
"0001/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT SISARTI BAKSYA ASASTA"," EKOLOGI 26","01/12/2018","107.6191228","-6.9174639"
"0002/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","CV. SUKA TALAGA PENUH BERKAT"," SUKARAJA -","01/12/2018","107.4968999","-6.747021603"
"0009/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","MAKMUR ABADI"," RAYA UJUNGBERUNG KM 11.5","01/12/2018","107.7000583","-6.9140806"
"0010/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PD. KILAT 88"," BANCEUY 88","01/12/2018","107.6061782","-6.9166172"
"0007/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT. SUMBER AGUNG \ HOTEL MUTIARA"," KEBON KAWUNG 60-62","01/12/2018","107.6015563","-6.9124776"
"0109/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","HEGAR SUMBER KREASI. CV."," JEND.AHMAD YANI 296 KOMP. IBCC A-5 NO.6","14/12/2018","107.633625","-6.914007"
