NO,KECAMATAN,LAKI-LAKI,PEREMPUAN
1,SUKASARI,42347,40851
2,COBLONG,66896,63374
3,BABAKAN CIPARAY,68261,63902
4,BOJONGLOA KALER,64745,60822
5,ANDIR,61845,58498
6,CICENDO,55515,53319
7,SUKAJADI,55635,53879
8,CIDADAP,29440,27818
9,BANDUNG WETAN,20156,19182
10,ASTANA ANYAR,42482,41218
11,REGOL,52170,49889
12,BATUNUNGGAL,64579,62342
13,LENGKONG,43758,42201
14,CIBEUNYING KIDUL,60976,58057
15,BANDUNG KULON,71473,68543
16,KIARACONDONG,66470,64187
17,BOJONGLOA KIDUL,44798,41793
18,CIBEUNYING KALER,38426,36822
19,SUMUR BANDUNG,22216,20829
20,ANTAPANI,39977,38413
21,BANDUNG KIDUL,30606,29682
22,BUAH BATU,56735,54430
23,RANCASARI,43959,42403
24,ARCAMANIK,38104,36389
25,CIBIRU,42587,39432
26,UJUNGBERUNG,44006,41826
27,GEDEBAGE,20708,19998
28,PANYILEUKAN,20307,19422
29,CINAMBO,13470,12763
30,MANDALAJATI,35976,34253
