bulan,jml_imb_2016,jml_retribusi_imb_2016
Januari,299,3100345689
Februari,322,2094326410
Maret,391,3322895621
April,315,3102998801
Mei,317,1560306203
Juni,338,3189967477
Juli,234,1226158296
Agustus,345,2320423077
September,310,11395592113
Oktober,301,1821519904
November,0,0
Desember,0,0
