lama_pemberian_asi,laki-laki ,perempuan
<= 5 Bulan ,7.73,12.20
6-11 Bulan ,12.30,15.71
12-17 Bulan ,23.99,20.18
18-23 Bulan ,16.21,20.81
24 Bulan ke atas ,39.77,31.10
