NO,KELOMPOK UMUR,LAKI-LAKI,PEREMPUAN,JUMLAH
1,0  s/d  4,612,472,1084
2,5  s/d  9,825,568,1393
3,10  s/d  14,822,766,1588
4,15  s/d  19,839,779,1618
5,20  s/d  24,855,782,1637
6,25  s/d  29,993,857,1850
7,30  s/d  34,1006,953,1959
8,35  s/d  39,955,809,1764
9,40  s/d  44,798,776,1574
10,45  s/d  49,716,697,1413
11,50  s/d  54,569,564,1133
12,55  s/d  59,496,509,1005
13,60  s/d  64,395,371,766
14,65 - keatas,484,469,953
,JUMLAH,10365,9372,19737
