id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan,
8671901,Belanja Modal Peralatan dan Mesin-Pengadaan Personal Komputer,165000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Penyediaan Peralatan dan Perlengkapan Kantor,Modal,Barang,11 Unit,Kota Bandung,Belanja Modal Peralatan dan Mesin-Pengadaan Personal Komputer,APBD,165000000,1.02.1.02.01.01.01.13.5.2.3.29.02,Pengadaan Langsung,15/11/2016,25/11/2016,28/11/2016,23/12/2016,Belanja Modal Peralatan dan Mesin-Pengadaan Personal Komputer (7490003) 
7831890,Belanja Alat Tulis Kantor UPT Puskesmas Cibiru,28053247,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Bantuan Operasional Kesehatan (DAK),Barang/jasa,Barang,1 Paket,Kota Bandung,Belanja Alat Tulis Kantor UPT Puskesmas Cibiru,APBD,28053247,1.02.1.02.01.27.16.43.5.2.2.01.01,Pengadaan Langsung,01/09/2016,14/09/2016,14/09/2016,13/10/2016,
8670593,Portable digital projektor (Kepala Dinas),8000000,Pengadaan Langsung,APBDP,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Penyediaan peralatan dan perlengkapan kantor,Modal,Barang,1 Unit,Jl. Supratman No 73 Bandung,Portable digital projektor (Kepala Dinas),APBDP,8000000,1.02.1.02.01.01.01.13.5.2.3.27.05,Pengadaan Langsung,15/11/2016,25/11/2016,28/11/2016,23/12/2016,
7380561,Pemeliharaan Instalasi Air,12000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Rehabilitasi Puskesmas,Barang/jasa,Jasa Lainnya,1 ls,Kota Bandung,Pemeliharaan Instalasi Air,APBD,12000000,1.02.1.02.01.01.25.24.5.2.2.20.08,Pengadaan Langsung,28/04/2016,11/05/2016,12/05/2016,13/06/2016,
7739506,Monitoring dan evaluasi,85950000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Bantuan operasional kesehatan,Barang/jasa,Jasa Lainnya,191 OK,Kota Bandung,Monitoring dan evaluasi Bantuan operasional kesehatan,APBD,85950000,1.02.1.02.01.01.16.43.5.2.2.17.02,Pengadaan Langsung,01/06/2016,01/07/2016,01/08/2016,31/08/2016,
7827866,Belanja Cetak UPT PKM Kujang Sari,44690000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Bantuan Operasional Kesehatan (DAK) UPT PKM Kujang Sari,Barang/jasa,Jasa Lainnya,1 Tahun,Kota Bandung,Belanja Cetak UPT PKM Kujang Sari,APBD,44690000,1.02.1.02.01.21.16.43.5.2.2.06.01,Pengadaan Langsung,11/07/2016,11/08/2016,12/08/2016,28/12/2016,
7059886,Belanja Penggandaan,19000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Peningkatan pengawasan keamanan pangan dan bahan berbahaya,Barang/jasa,Jasa Lainnya,1 paket,Kota Bandung,Belanja penggandaan untuk kegiatan penyuluhan keamanan pangan dan bimtek peningkatan keamanan pangan bagi PIRT,APBD,19000000,1.02.1.02.01.17.02.5.2.2.06.02,Pengadaan Langsung,01/02/2016,29/02/2016,18/03/2016,31/08/2016,
7827856,Belanja Bahan Medis Habis Pakai UPT PKM Kujang Sari,49183000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Bantuan Operasional Kesehatan (DAK) UPT PKM Kujang Sari,Barang/jasa,Barang,1 Tahun,Kota Bandung,Belanja Bahan Medis Habis Pakai UPT PKM Kujang Sari,APBD,49183000,1.02.1.02.01.21.16.43.5.2.2.02.09,Pengadaan Langsung,11/07/2016,11/08/2016,12/08/2016,28/12/2016,
7825955,Belanja Cetak Kegiatan BOK UPT Puskesmas Sukarasa,61418720,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Bantuan Operasional Kesehatan (DAK) ,Barang/jasa,Jasa Lainnya,1 tahun,Kota Bandung,Belanja Cetak Kegiatan BOK UPT Puskesmas Sukarasa,APBD,61418720,1.02.1.02.01.05.16.43.5.2.2.06.01,Pengadaan Langsung,29/09/2016,14/10/2016,14/10/2016,15/12/2016,
6665229,Belanja makanan dan minuman pada kegiatan Pelayanan komplikasi kebidanan yang ditangani,42600000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS KESEHATAN,2016,Pelayanan komplikasi kebidanan yang ditangani,Barang/jasa,Jasa Lainnya,740 OH,Kota Bandung,Belanja makanan dan minuman pada kegiatan Pelayanan komplikasi kebidanan yang ditangani,APBD,42600000,1.02.1.02.01.01.34.11.5.2.2.11.05,Pengadaan Langsung,19/02/2016,29/02/2016,01/03/2016,31/03/2016,
