npsn,nama,bentuk_pendidikan_nama,jenjang_pendidikan_nama,alamat_jalan,rt,rw,nama_dusun,desa_kelurahan_nama,Column,lintang,bujur,kebutuhan_khusus_nama,status_sekolah_nama,status_kepemilikan_nama
20219739,SMAS BINA DHARMA 2 BANDUNG,SMA,SMA / sederajat,JL. BABAKAN SARI KIARACONDONG,9,11,-,Babakan Sari,Kec. Kiaracondong,-6.9253,107.6552,Tidak ada,Tidak Aktif,Yayasan
20219805,SMAS MUHAMMADIYAH 3,SMA,SMA / sederajat,JL. BANTENG DALAM NO. 6,7,10,-,Burangrang,Kec. Lengkong,-6.9328,107.6242,Tidak ada,Tidak Aktif,Yayasan
20219259,SMAS SWADAYA BANDUNG,SMA,SMA / sederajat,JL. TERUSAN PASIR KODJA NO. 181,7,5,-,Babakan Tarogong,Kec. Bojong Loa Kaler,-6.926,107.5881,Tidak ada,Tidak Aktif,Yayasan
20219324,SMAN 9 BANDUNG,SMA,SMA / sederajat,LMU I SUPARMIN NO. I A BANDUNG,1,5,Pajajaran,Pajajaran,Kec. Cicendo,-6.901,107.5858,Tidak ada,Aktif,Pemerintah Daerah
20247281,SMAS SUMATRA 40-1,SMA,SMA / sederajat,JL. PAHLAWAN NO. 21,7,6,-,Cihaurgeulis,Kec. Cibeunying Kaler,-6.9001,107.6337,Tidak ada,Tidak Aktif,Yayasan
20275334,SMKS GANTRA,SMK,SMA / sederajat,JL. CINANGKA NO. 131,3,5,,Pasir Wangi,Kec. Ujungberung,-6.9109,107.7047,Tidak ada,Tidak Aktif,Yayasan
20265534,SMKS MEDIKACOM,SMK,SMA / sederajat,Jl. Soekarno Hatta No. 597,3,10,-,Kebon Kangkung,Kec. Kiaracondong,-6.943,107.6457,Tidak ada,Tidak Aktif,Yayasan
20219774,SMAS PASUNDAN 8 BANDUNG,SMA,SMA / sederajat,JL. CIHAMPELAS NO. 167,4,1,-,Cipaganti,Kec. Coblong,-6.8908,107.604,Tidak ada,Tidak Aktif,Yayasan
20219261,SMAS SEBELAS MARET,SMA,SMA / sederajat,JL. DENKI SELATAN V NO. 28,5,2,-,Ciseureuh,Kec. Regol,-6.9465,107.6114,Tidak ada,Tidak Aktif,Yayasan
20219765,SMAS PASUNDAN 3 BANDUNG,SMA,SMA / sederajat,JL. KEBON JATI NO. 31,4,3,Kebon Jati,Kebon Jeruk,Kec. Andir,-6.9162,107.601,Tidak ada,Tidak Aktif,Yayasan
20280593,SLB NEGERI A PAJAJARAN,Keaksaraan,SMA / sederajat,Jl. Pajajaran No. 50,6,3,,Pasirkaliki,Kec. Cicendo,-6.911868,107.594259,A - Tuna netra,Aktif,Pemerintah Daerah
20219320,SMKS AL FALAH BANDUNG,SMK,SMA / sederajat,JL.CISITU BARU 52,7,11,-,Dago,Kec. Coblong,-6.8831,107.613,Tidak ada,Tidak Aktif,Yayasan
