Kecamatan,Luas(Km2),Jumlah Penduduk ,Kepadatan Penduduk (Per Km2)
Bandung Kulon ,"6,46 ",142.41,22.05
Babakan Ciparay ,"7,45 ",147.1,19.74
Bojongloa Kaler ,"3,03 ",120.41,39.74
Bojongloa Kidul ,"6,26 ",85.67,13.69
Astanaanyar ,"2,89 ",68.83,23.82
Regol ,"4,30 ",81.47,18.95
Lengkong ,"5,90 ",71.19,12.07
Bandung Kidul ,"6,06 ",58.96,9.73
Buah Batu ,"7,93 ",95.11,11.99
Rancasari ,"7,33 ",76.9,10.49
Gedebage ,"9,58 ",37.08,3.87
Cibiru ,"6,32 ",72.02,11.4
Panyileukan ,"5,10 ",40.25,7.89
Ujung Berung ,"6,40 ",76.9,12.02
Cinambo ,"3,68 ",25.23,6.86
Arcamanik ,"5,87 ",69.31,11.81
Antapani ,"3,79 ",74.46,19.65
Mandalajati ,"6,67 ",63.58,9.53
Kiaracondong ,"6,12 ",131.97,21.56
Batununggal ,"5,03 ",120.93,24.04
Sumur Bandung ,"3,4 ",36.58,10.76
Andir ,"3,71 ",97.55,26.3
Cicendo ,"6,86 ",99.75,14.54
Bandung Wetan ,"3,39 ",31.12,9.18
Cibeunying Kidul ,"5,25 ",107.81,20.53
Cibeunying Kaler ,"4,50 ",70.92,15.76
Coblong ,"7,35 ",131.53,17.9
Sukajadi ,"4,30 ",108.38,25.2
Sukasari ,"6,27 ",81.91,13.06
Cidadap ,"6,11 ",58.67,9.6
