lokasi,nama_komoditas,2016-03-04,2016-03-11,2016-03-18,2016-03-25,2016-03-01,2016-03-02,2016-03-03,2016-03-07,2016-03-08,2016-03-10,2016-03-14,2016-03-15,2016-03-16,2016-03-17,2016-03-20,2016-03-21,2016-03-22,2016-03-23,2016-03-24,2016-03-28,2016-03-29,2016-03-30,2016-03-31,2016-03-05,2016-03-06,2016-03-09
Pasar Kosambi,Beras Medium,10000,10000,0,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,0
Pasar Kosambi,Cabe Merah,80000,80000,0,0,80000,80000,60000,70000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,45000,50000,0,40000,80000,80000,50000
Pasar Kosambi,Bawang Merah,50000,50000,0,0,50000,50000,40000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,0,45000,0,55000,50000,50000,45000
Pasar Kosambi,Daging Ayam Ras,28000,30000,0,0,28000,28000,28000,30000,30000,30000,35000,35000,35000,35000,35000,32000,32000,32000,32000,30000,30000,30000,30000,0,0,0
Pasar Kosambi,Telur Ayam Ras,18500,20000,0,0,20000,18500,22000,20000,18500,20000,18500,18500,18500,18500,18500,18500,18500,18500,18500,18500,18500,18500,18500,18500,18500,18500
Pasar Kosambi,Daging Sapi,120000,120000,0,0,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,0,120000,120000,120000,0,0,0
Pasar Kosambi,Minyak Goreng,14000,14000,0,0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,0,14000,14000,13000,14000,14000,14000
Pasar Kosambi,Gula Pasir,13000,13000,0,0,13000,13000,13000,13000,13000,13000,0,0,0,13000,13000,13000,13000,13000,13000,13000,13000,13000,11000,13000,13000,13000
Pasar Kosambi,Kentang,12000,12000,0,0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,0,9000,12000,12000,12000
Pasar Kosambi,Kedelai,11000,11000,0,0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,0,0,11000,11000,11000
Pasar Kosambi,Tepung Terigu,7500,7500,0,0,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,0,7000,0,0,0
Pasar Kosambi,Bawang Putih,50000,35000,0,0,35000,50000,35000,35000,35000,35000,35000,35000,35000,35000,35000,50000,50000,50000,50000,45000,45000,0,40000,35000,35000,45000
Pasar Kosambi,Cabe Keriting,60000,60000,0,0,60000,60000,40000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,50000,50000,0,40000,60000,60000,50000
Pasar Kosambi,Cabe Rawit,70000,60000,0,0,60000,70000,40000,60000,60000,60000,60000,60000,60000,60000,60000,70000,70000,70000,70000,65000,70000,0,45000,60000,60000,70000
Pasar Kosambi,Kacang Tanah,27000,27000,0,0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,0,24000,27000,27000,27000
Pasar Kosambi,Ubi Kayu,4000,4000,0,0,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,0,0,5000,4000,4000,4000
Pasar Kosambi,Ubi Jalar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasar Kosambi,Jagung,7000,7000,0,0,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,0,8000,7000,7000,7000
Pasar Kosambi,Ikan Olahan,70000,7000,0,0,70000,70000,70000,70000,70000,7000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,0,60000,70000,70000,70000
Pasar Kosambi,Beras Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasar Kosambi,Minyak Goreng Curah,10000,10000,0,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,11000,0,11000,10000,10000,10000,11000
Pasar Kosambi,Daging Ayam Kampung,65000,65000,0,0,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,0,65000,65000,65000,0,0,0
Pasar Kosambi,Telur Ayam Kampung,40000,40000,0,0,40000,40000,40000,40000,40000,40000,0,0,0,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,40000,40000,40000
