indikator,kecamatan,kelurahan_desa,milik_sendiri,milik_orang_lain,tanah_negara,lainnya,total_krt
"Status Lahan Tempat Tinggal","BANDUNG KULON","GEMPOL SARI",487,20,2,2,645
"Status Lahan Tempat Tinggal","BANDUNG KULON","CIGONDEWAH KALER",1006,17,3,2,1548
"Status Lahan Tempat Tinggal","BANDUNG KULON","CIGONDEWAH KIDUL",341,18,0,0,422
"Status Lahan Tempat Tinggal","BANDUNG KULON","CIGONDEWAH RAHAYU",336,101,3,3,638
"Status Lahan Tempat Tinggal","BANDUNG KULON",CARINGIN,144,3,3,0,248
"Status Lahan Tempat Tinggal","BANDUNG KULON","WARUNG MUNCANG",666,27,1,1,1756
"Status Lahan Tempat Tinggal","BANDUNG KULON",CIBUNTU,377,31,0,0,866
"Status Lahan Tempat Tinggal","BANDUNG KULON",CIJERAH,495,54,2,0,1420
"Status Lahan Tempat Tinggal","BABAKAN CIPARAY",MARGASUKA,350,16,1,3,662
"Status Lahan Tempat Tinggal","BABAKAN CIPARAY",CIRANGRANG,360,18,0,0,650
"Status Lahan Tempat Tinggal","BABAKAN CIPARAY","MARGAHAYU UTARA",586,15,3,5,1125
"Status Lahan Tempat Tinggal","BABAKAN CIPARAY","BABAKAN CIPARAY",684,58,0,20,1885
"Status Lahan Tempat Tinggal","BABAKAN CIPARAY",BABAKAN,953,39,3,5,2162
"Status Lahan Tempat Tinggal","BABAKAN CIPARAY",SUKAHAJI,590,328,1,4,2120
"Status Lahan Tempat Tinggal","BOJONGLOA KALER",KOPO,947,39,2,1,1828
"Status Lahan Tempat Tinggal","BOJONGLOA KALER","SUKA ASIH",634,30,6,6,1835
"Status Lahan Tempat Tinggal","BOJONGLOA KALER","BABAKAN ASIH",549,49,0,0,1421
"Status Lahan Tempat Tinggal","BOJONGLOA KALER","BABAKAN TAROGONG",1026,19,1,6,2448
"Status Lahan Tempat Tinggal","BOJONGLOA KALER",JAMIKA,973,47,0,8,2523
"Status Lahan Tempat Tinggal","BOJONGLOA KIDUL","CIBADUYUT KIDUL",355,10,0,2,627
"Status Lahan Tempat Tinggal","BOJONGLOA KIDUL","CIBADUYUT WETAN",279,5,1,0,431
"Status Lahan Tempat Tinggal","BOJONGLOA KIDUL","MEKAR WANGI",366,50,17,1,804
"Status Lahan Tempat Tinggal","BOJONGLOA KIDUL",CIBADUYUT,518,13,0,0,921
"Status Lahan Tempat Tinggal","BOJONGLOA KIDUL","KEBON LEGA",517,43,8,1,1150
"Status Lahan Tempat Tinggal","BOJONGLOA KIDUL",SITUSAEUR,562,70,4,0,1203
"Status Lahan Tempat Tinggal",ASTANAANYAR,KARASAK,192,25,0,1,442
"Status Lahan Tempat Tinggal",ASTANAANYAR,"PELINDUNG HEWAN",254,13,6,3,860
"Status Lahan Tempat Tinggal",ASTANAANYAR,NYENGSERET,80,14,97,12,615
"Status Lahan Tempat Tinggal",ASTANAANYAR,PANJUNAN,95,9,25,64,425
"Status Lahan Tempat Tinggal",ASTANAANYAR,CIBADAK,193,28,1,0,583
"Status Lahan Tempat Tinggal",ASTANAANYAR,"KARANG ANYAR",19,18,1,0,176
"Status Lahan Tempat Tinggal",REGOL,CISEUREUH,241,11,41,10,918
