No,NAMA PERUSAHAAN,Persil/Lokasi,Izin,Kelurahan,Kecamatan,Wilayah
1,"PT. NAMAKITA 
Jalan Persada Asri I A-6 Bandung",Komp. Persada Asri I A-6 ,Izin Usaha Perdagangan,Sindangjaya,Mandalajati,UJUNGBERUNG
2,"PT. LIANA 
Jalan Gegerkalong Hilir No. 175 Bandung",Jalan Gegerkalong Hilir No. 175 ,Izin Usaha Perdagangan,Sarijadi,Sukasari,BOJONAGARA
3,"CV. WADITRA INDOJAYA 
Jalan Kubang Selatan No. 15-A Bandung",Jalan Kubang Selatan No. 15-A ,Izin Usaha Perdagangan,Lebakgede,Coblong,CIBEUNYING
4,"Sinar Yen Mas 
Jalan Undak Kencana Blok E-III No. 34",Jalan Undak Kencana Blok E-III No. 34,Izin Usaha Perdagangan,Suka Asih,Bojongloa Kaler,TEGALLEGA
5,"CV. BRAYN 
Jalan Cinta Asih No. 31",Jalan Cinta Asih No. 31,Izin Usaha Perdagangan,Samoja,Batununggal,KAREES
6,"CV. LUHUR 
Jalan Balonggede No. 27 Bandung",Jalan Balonggede No. 27 ,Izin Usaha Perdagangan,Balonggede,Regol,KAREES
7,"PT. NURIZKA  RAYA  ARTHA 
Jalan  Golf  Barat  XVI  No.  1  Bandung",Jalan  Golf  Barat  XVI  No.  1  ,Izin Usaha Perdagangan,Sukamiskin,Arcamanik,UJUNGBERUNG
8,"CV. WAHYU  PUTRA  MANDIRI 
Jalan KALIJATI  6  NO.  1  BANDUNG",Jalan KALIJATI  6  NO.  1  ,Izin Usaha Perdagangan,Antapani Kulon,Antapani,UJUNGBERUNG
9,"CV.  RAHDIAN  PRATAMA 
Jalan Pasadena  Jalan Kasturi  C 1  No.  18  Bandung",Komp. Pasadena  Jalan Kasturi  C 1  No.  18  ,Izin Usaha Perdagangan,Margahayu Utara,Babakan Ciparay,TEGALLEGA
10,"PT. JAYA TEKNIK SARANA TELEMEDIA 
Jalan Martanegara No.68A Bandung",Jalan Martanegara No. 68-A ,Izin Usaha Perdagangan,Turangga,Lengkong,KAREES
11,"CV. TROPIS 
Jalan Jalan  Cikutra RT. 02/8 Bandung",Jalan Babakan Cikutra RT. 02/8 ,Izin Usaha Perdagangan,Neglasari,Cibeunying Kaler,CIBEUNYING
12,"TAWAKAL 
Jalan Sukagalih No. 87 Bandung",Jalan Sukagalih No. 87 ,Izin Usaha Perdagangan,Sukabungah,Sukajadi,BOJONAGARA
13,"CV. PRIMA GLOBAL MANDIRI 
Jalan Laswi No. 57 Bandung",Jalan Laswi No. 57 ,Izin Usaha Perdagangan,Cibangkong,Batununggal,KAREES
14,"PT. FAST MEDIA INTERNUSA 
Jalan Gedebage Selatan No. 148 Bandung",Jalan Gedebage Selatan No. 148 ,Izin Usaha Perdagangan,Rancabolang,Gedebage,GEDEBAGE
15,"RM. GEPUK NY. YONG 
Jalan Sawo No. 6",Jalan Sawo No. 6,Izin Usaha Perdagangan,Cihapit,Bandung Wetan,CIBEUNYING
16,"TOKO KING 
Jalan Jend. A Yani No. 485",Jalan Jend. A Yani No. 485,Izin Usaha Perdagangan,Cicadas,Cibeunying Kidul,CIBEUNYING
17,"CV. FENNESA  WICTA  PRAYA 
Jalan Giri  Rahayu  II  No. 6  Bandung",Jalan Giri  Rahayu  II  No. 6  ,Izin Usaha Perdagangan,,,
18,"PT. TELVIEW TECHNOLOGY 
Jalan Padjajaran No. 26",Jalan Padjajaran No. 26,Izin Usaha Perdagangan,Tamansari,Bandung Wetan,CIBEUNYING
19,"PT. ANDALAN  CHRISDECO 
Jalan Wastukencana  No. 11 A  Bandung",Jalan Wastukencana  No. 11 A  ,Izin Usaha Perdagangan,Babakan Ciamis,Sumur Bandung,CIBEUNYING
20,"CV. GALENIA INDONESIA 
Jalan Badak Singa No. 8",Jalan Badak Singa No. 8,Izin Usaha Perdagangan,Lebak Siliwangi,Coblong,CIBEUNYING
21,"PT. ANDALAN  CHRISDECO 
Jalan  Soekarno  Hatta  No. 337  Bandung",Jalan  Soekarno  Hatta  No. 337  ,Izin Usaha Perdagangan,Kebonlega,Bojongloa Kidul,TEGALLEGA
22,"BATU HIAS DAN PERTAMANAN  
Jalan SOEKARNO HATTA 366",JalanSOEKARNO HATTA 366,Izin Usaha Perdagangan,Kebonlega,Bojongloa Kidul,TEGALLEGA
23,"LESTARI 
Jalan Kapten Abdul Hamid No. 139",Jalan Kapten Abdul Hamid No. 139,Izin Usaha Perdagangan,Hegarmanah,Cidadap,CIBEUNYING
24,"PD. YENA ROHANIAH ISKANDAR 
Jalan Soekarno Hatta  No. 25  Bandung",Jalan Soekarno Hatta  No. 25  ,Izin Usaha Perdagangan,Mekar Mulya,Panyileukan,GEDEBAGE
25,"PD. PELAJAR PEJUANG 
Jalan Pelajar Pejuang 45 No. 86-A Bandung",Jalan Pelajar Pejuang 45 No. 86-A ,Izin Usaha Perdagangan,Turangga,Lengkong,KAREES
26,"PT. WONG BANDUNG 
Jalan Tegalega Selatan No. 53 Bandung",Jalan Tegalega Selatan No. 53 ,Izin Usaha Perdagangan,Pelindung Hewan,Astana Anyar,TEGALLEGA
