NO,NAMA PERUMAHAN,LOKASI, LUAS  (m2) 
1,Auri 1,Jl. Sukawarna Baru,16382
2,Auri 2,Jl. Gunung Batu,52116
3,Baladewa Asri 1,Jl. Baladewa,7752
4,Baladewa Asri 2,Jl. Citepus,22155
5,Cipta Graha,Jl. Gunung Batu,45901
6,Dakota Raya,Jl. Dakota 1,13471
7,Gardenia Regency,Jl. Gunung Batu,2721
8,Gate Way Pasteur Apartemen,Jl. Gunung Batu,38955
9,Graha Indah,Jl. Raya Cibabat,10955
10,Istana Pasteur Regency,Jl. Gunung Batu,22088
11,Istana Regency,Jl. Sukawarna ,63650
12,Istana Regency 2,Jl. Suparmin,40618
13,Kompleks Lapan,Jl. Antariksa,16233
14,Mega Raya,Jl. Mentor,139362
15,Milenium Regency,Jl. Suparmin,10574
16,Nakula Sadewa,Jl. Sadewa,123342
17,Pjka,Jl. Pandawa,27359
18,Rusun Industri,Jl. Industri Dalam,2256
19,Taman Milenium,Jl. Sukawarna,20307
20,The Residence Mega Asri,Jl. Mentor,11803
21,The Residence Mega Raya,Jl. Babakan Radio,139362
22,Unpar,Jl. Gunung Batu,2432
23,Vila Kendarsih,Jl. Gunung Batu,6746
,,JUMLAH,836540
