lokasi,nama_komoditas,2016-06-03,2016-06-10,2016-06-17,2016-06-24,2016-06-01,2016-06-02,2016-06-06,2016-06-09,2016-06-13,2016-06-14,2016-06-15,2016-06-16,2016-06-20,2016-06-21,2016-06-22,2016-06-23,2016-06-27,2016-06-28,2016-06-29,2016-06-30,,
Pasar Sederhana,Beras Medium,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,28000,10000,,
Pasar Sederhana,Cabe Merah,50000,60000,60000,60000,30000,50000,60000,60000,60000,60000,60000,60000,53000,53000,53000,53000,6000,60000,60000,60000,,
Pasar Sederhana,Bawang Merah,40000,40000,36000,36000,40000,40000,40000,40000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,,
Pasar Sederhana,Daging Ayam Ras,37000,38000,38000,35000,34000,37000,38000,38000,38000,38000,38000,38000,35000,35000,35000,35000,0,36000,0,0,,
Pasar Sederhana,Telur Ayam Ras,23500,24000,22000,20000,23000,23500,24000,24000,24000,22000,22000,44000,20000,20000,20000,20000,20000,20000,20000,20000,,
Pasar Sederhana,Daging Sapi,120000,130000,125000,125000,120000,120000,140000,130000,130000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,,
Pasar Sederhana,Minyak Goreng,14500,14500,14500,24000,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,24000,14500,14500,14500,,
Pasar Sederhana,Gula Pasir,15000,15000,15000,16000,15000,15000,15000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,16000,16000,16000,,
Pasar Sederhana,Kentang,16000,16000,16000,16000,0,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,0,18000,18000,,
Pasar Sederhana,Kedelai,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,,
Pasar Sederhana,Tepung Terigu,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,,
Pasar Sederhana,Bawang Putih,40000,40000,36000,36000,40000,40000,40000,40000,40000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,,
