indikator,kecamatan,kelurahan_desa,pln,non_pln,tidak_ada_listrik,total_krt
"Sumber Penerangan","BANDUNG KULON","GEMPOL SARI",644,1,0,645
"Sumber Penerangan","BANDUNG KULON","CIGONDEWAH KALER",1547,1,0,1548
"Sumber Penerangan","BANDUNG KULON","CIGONDEWAH KIDUL",421,1,0,422
"Sumber Penerangan","BANDUNG KULON","CIGONDEWAH RAHAYU",613,25,0,638
"Sumber Penerangan","BANDUNG KULON",CARINGIN,248,0,0,248
"Sumber Penerangan","BANDUNG KULON","WARUNG MUNCANG",1755,1,0,1756
"Sumber Penerangan","BANDUNG KULON",CIBUNTU,865,1,0,866
"Sumber Penerangan","BANDUNG KULON",CIJERAH,1418,2,0,1420
"Sumber Penerangan","BABAKAN CIPARAY",MARGASUKA,661,1,0,662
"Sumber Penerangan","BABAKAN CIPARAY",CIRANGRANG,650,0,0,650
"Sumber Penerangan","BABAKAN CIPARAY","MARGAHAYU UTARA",1121,4,0,1125
"Sumber Penerangan","BABAKAN CIPARAY","BABAKAN CIPARAY",1885,0,0,1885
"Sumber Penerangan","BABAKAN CIPARAY",BABAKAN,2155,7,0,2162
"Sumber Penerangan","BABAKAN CIPARAY",SUKAHAJI,2107,12,1,2120
"Sumber Penerangan","BOJONGLOA KALER",KOPO,1822,6,0,1828
"Sumber Penerangan","BOJONGLOA KALER","SUKA ASIH",1829,5,1,1835
"Sumber Penerangan","BOJONGLOA KALER","BABAKAN ASIH",1383,38,0,1421
"Sumber Penerangan","BOJONGLOA KALER","BABAKAN TAROGONG",2255,193,0,2448
"Sumber Penerangan","BOJONGLOA KALER",JAMIKA,2516,7,0,2523
"Sumber Penerangan","BOJONGLOA KIDUL","CIBADUYUT KIDUL",627,0,0,627
"Sumber Penerangan","BOJONGLOA KIDUL","CIBADUYUT WETAN",431,0,0,431
"Sumber Penerangan","BOJONGLOA KIDUL","MEKAR WANGI",800,4,0,804
"Sumber Penerangan","BOJONGLOA KIDUL",CIBADUYUT,919,2,0,921
"Sumber Penerangan","BOJONGLOA KIDUL","KEBON LEGA",1147,3,0,1150
"Sumber Penerangan","BOJONGLOA KIDUL",SITUSAEUR,1197,6,0,1203
"Sumber Penerangan",ASTANAANYAR,KARASAK,440,2,0,442
"Sumber Penerangan",ASTANAANYAR,"PELINDUNG HEWAN",859,1,0,860
"Sumber Penerangan",ASTANAANYAR,NYENGSERET,615,0,0,615
"Sumber Penerangan",ASTANAANYAR,PANJUNAN,404,21,0,425
"Sumber Penerangan",ASTANAANYAR,CIBADAK,566,17,0,583
"Sumber Penerangan",ASTANAANYAR,"KARANG ANYAR",139,37,0,176
"Sumber Penerangan",REGOL,CISEUREUH,908,10,0,918
"Sumber Penerangan",REGOL,PASIRLUYU,1034,4,0,1038
"Sumber Penerangan",REGOL,ANCOL,476,1,0,477
"Sumber Penerangan",REGOL,CIGERELENG,369,2,0,371
"Sumber Penerangan",REGOL,CIATEUL,211,0,0,211
"Sumber Penerangan",REGOL,PUNGKUR,232,1,0,233
"Sumber Penerangan",REGOL,"BALONG GEDE",231,0,0,231
"Sumber Penerangan",LENGKONG,CIJAGRA,256,0,0,256
"Sumber Penerangan",LENGKONG,TURANGGA,163,0,0,163
"Sumber Penerangan",LENGKONG,"LINGKAR SELATAN",113,0,0,113
"Sumber Penerangan",LENGKONG,MALABAR,308,1,0,309
"Sumber Penerangan",LENGKONG,BURANGRANG,458,1,0,459
"Sumber Penerangan",LENGKONG,CIKAWAO,354,0,0,354
"Sumber Penerangan",LENGKONG,PALEDANG,249,1,0,250
"Sumber Penerangan","BANDUNG KIDUL",WATES,671,0,0,671
"Sumber Penerangan","BANDUNG KIDUL",MENGGER,462,3,0,465
"Sumber Penerangan","BANDUNG KIDUL",BATUNUNGGAL,1130,0,0,1130
"Sumber Penerangan","BANDUNG KIDUL",KUJANGSARI,1125,1,0,1126
"Sumber Penerangan",BUAHBATU,CIJAURA,1422,2,0,1424
"Sumber Penerangan",BUAHBATU,MARGASARI,1929,9,0,1938
"Sumber Penerangan",BUAHBATU,SEKEJATI,891,2,0,893
"Sumber Penerangan",BUAHBATU,"JATI SARI",296,0,0,296
"Sumber Penerangan",RANCASARI,DERWATI,1121,8,0,1129
"Sumber Penerangan",RANCASARI,CIPAMOKOLAN,653,4,0,657
"Sumber Penerangan",RANCASARI,MANJAHLEGA,385,3,0,388
"Sumber Penerangan",RANCASARI,MEKARJAYA,659,1,0,660
"Sumber Penerangan",GEDEBAGE,RANCABOLANG,355,0,0,355
"Sumber Penerangan",GEDEBAGE,RANCANUMPANG,124,0,0,124
"Sumber Penerangan",GEDEBAGE,"CISARANTEN KIDUL",817,1,0,818
"Sumber Penerangan",GEDEBAGE,CIMINCRANG,249,0,0,249
"Sumber Penerangan",CIBIRU,"PASIR BIRU",968,2,0,970
"Sumber Penerangan",CIBIRU,CIPADUNG,992,148,0,1140
"Sumber Penerangan",CIBIRU,PALASARI,848,3,0,851
"Sumber Penerangan",CIBIRU,CISURUPAN,886,5,0,891
"Sumber Penerangan",PANYILEUKAN,"MEKAR MULYA",109,0,0,109
"Sumber Penerangan",PANYILEUKAN,"CIPADUNG KIDUL",175,0,0,175
"Sumber Penerangan",PANYILEUKAN,"CIPADUNG WETAN",345,3,0,348
"Sumber Penerangan",PANYILEUKAN,"CIPADUNG KULON",652,1,0,653
"Sumber Penerangan","UJUNG BERUNG",PASANGGRAHAN,1207,79,0,1286
"Sumber Penerangan","UJUNG BERUNG",PASIRJATI,1102,2,0,1104
"Sumber Penerangan","UJUNG BERUNG","PASIR WANGI",1079,63,1,1143
