indikator,kecamatan,kelurahan_desa,sepeda,sepeda_motor,mobil,perahu,perahu_motor,motor_tempel,kapal,total_krt
"Aset Kendaraan",PANYILEUKAN,"CIPADUNG KULON",89,239,2,0,0,0,0,653
"Aset Kendaraan","UJUNG BERUNG",PASANGGRAHAN,15,422,1,0,0,0,0,1286
"Aset Kendaraan","UJUNG BERUNG",PASIRJATI,10,367,0,0,0,0,0,1104
"Aset Kendaraan","UJUNG BERUNG","PASIR WANGI",23,466,2,0,0,0,0,1143
"Aset Kendaraan","UJUNG BERUNG",CIGENDING,35,281,2,0,0,0,0,914
"Aset Kendaraan","UJUNG BERUNG","PASIR ENDAH",25,95,1,0,0,0,0,366
"Aset Kendaraan",CINAMBO,"CISARANTEN WETAN",17,190,0,0,0,0,0,325
"Aset Kendaraan",CINAMBO,"BABAKAN PENGHULU",38,135,1,0,0,0,0,414
"Aset Kendaraan",CINAMBO,PAKEMITAN,53,88,0,0,0,0,0,191
"Aset Kendaraan",CINAMBO,SUKAMULYA,8,136,0,0,0,0,0,360
"Aset Kendaraan",ARCAMANIK,"CISARANTEN KULON",169,480,4,0,0,0,0,1061
"Aset Kendaraan",ARCAMANIK,"CISARANTEN BINA HARAPAN",12,115,0,0,0,0,0,926
"Aset Kendaraan",ARCAMANIK,SUKAMISKIN,123,328,1,0,0,0,0,697
"Aset Kendaraan",ARCAMANIK,"CISARANTEN ENDAH",146,366,0,0,0,0,0,831
"Aset Kendaraan",ANTAPANI,"ANTAPANI KIDUL",71,181,0,0,0,0,0,307
"Aset Kendaraan",ANTAPANI,"ANTAPANI TENGAH",83,363,4,0,0,0,0,749
"Aset Kendaraan",ANTAPANI,"ANTAPANI WETAN",40,188,0,0,0,0,0,761
"Aset Kendaraan",ANTAPANI,"ANTAPANI KULON",17,69,0,0,0,0,0,483
"Aset Kendaraan",MANDALAJATI,JATIHANDAP,40,375,2,0,0,0,0,1276
"Aset Kendaraan",MANDALAJATI,"KARANG PAMULANG",61,379,2,0,0,0,0,1105
"Aset Kendaraan",MANDALAJATI,"SINDANG JAYA",7,242,1,0,0,0,0,561
"Aset Kendaraan",MANDALAJATI,"PASIR IMPUN",10,137,0,0,0,0,0,396
"Aset Kendaraan",KIARACONDONG,"KEBON KANGKUNG",120,230,2,0,0,0,0,768
"Aset Kendaraan",KIARACONDONG,SUKAPURA,296,556,1,0,0,0,0,1792
"Aset Kendaraan",KIARACONDONG,"KEBUN JAYANTI",99,265,0,0,0,0,0,904
"Aset Kendaraan",KIARACONDONG,"BABAKAN SARI",166,843,2,0,0,0,0,1634
"Aset Kendaraan",KIARACONDONG,"BABAKAN SURABAYA",53,311,1,0,0,0,0,1039
"Aset Kendaraan",KIARACONDONG,CICAHEUM,57,319,2,0,0,0,0,905
"Aset Kendaraan",BATUNUNGGAL,GUMURUH,130,280,1,0,0,0,0,823
"Aset Kendaraan",BATUNUNGGAL,BINONG,158,316,0,0,0,0,0,1020
"Aset Kendaraan",BATUNUNGGAL,"KEBON GEDANG",61,138,0,0,0,0,0,586
"Aset Kendaraan",BATUNUNGGAL,MALEER,87,328,0,0,0,0,0,1423
"Aset Kendaraan",BATUNUNGGAL,CIBANGKONG,128,272,1,0,0,0,0,1020
"Aset Kendaraan",BATUNUNGGAL,SAMOJA,47,326,1,0,0,0,0,1019
"Aset Kendaraan",BATUNUNGGAL,KACAPIRING,19,154,0,0,0,0,0,456
"Aset Kendaraan",BATUNUNGGAL,"KEBON WARU",75,206,1,0,0,0,0,841
"Aset Kendaraan","SUMUR BANDUNG",BRAGA,7,68,0,0,0,0,0,189
"Aset Kendaraan","SUMUR BANDUNG","KEBON PISANG",30,88,1,0,0,0,0,296
"Aset Kendaraan","SUMUR BANDUNG",MERDEKA,2,14,0,0,0,0,0,53
"Aset Kendaraan","SUMUR BANDUNG","BABAKAN CIAMIS",14,45,0,0,0,0,0,181
"Aset Kendaraan",ANDIR,CAMPAKA,53,245,1,0,0,0,0,866
"Aset Kendaraan",ANDIR,MALEBER,55,286,3,0,0,0,0,732
"Aset Kendaraan",ANDIR,GARUDA,44,148,0,0,0,0,0,506
"Aset Kendaraan",ANDIR,"DUNGUS CARIANG",39,195,1,0,0,0,0,784
"Aset Kendaraan",ANDIR,CIROYOM,61,337,1,0,0,0,0,1109
"Aset Kendaraan",ANDIR,"KEBON JERUK",28,135,1,0,0,0,0,518
"Aset Kendaraan",CICENDO,ARJUNA,23,21,0,0,0,0,0,204
"Aset Kendaraan",CICENDO,PASIRKALIKI,3,76,0,0,0,0,0,300
"Aset Kendaraan",CICENDO,PAMOYANAN,30,88,1,0,0,0,0,182
"Aset Kendaraan",CICENDO,PAJAJARAN,31,334,1,0,0,0,0,1175
"Aset Kendaraan",CICENDO,"HUSEN SASTRANEGARA",25,187,1,0,0,0,0,859
"Aset Kendaraan",CICENDO,SUKARAJA,13,116,1,0,0,0,0,815
"Aset Kendaraan","BANDUNG WETAN","TAMAN SARI",11,127,0,0,0,0,0,786
"Aset Kendaraan","BANDUNG WETAN",CITARUM,1,2,0,0,0,0,0,25
"Aset Kendaraan","BANDUNG WETAN",CIHAPIT,1,4,0,0,0,0,0,34
"Aset Kendaraan","CIBEUNYING KIDUL",SUKAMAJU,33,73,0,0,0,0,0,421
"Aset Kendaraan","CIBEUNYING KIDUL",CICADAS,22,145,0,0,0,0,0,587
"Aset Kendaraan","CIBEUNYING KIDUL",CIKUTRA,77,330,1,0,0,0,0,1025
"Aset Kendaraan","CIBEUNYING KIDUL",PADASUKA,24,176,0,0,0,0,0,918
"Aset Kendaraan","CIBEUNYING KIDUL",PASIRLAYUNG,14,312,0,0,0,0,0,1066
"Aset Kendaraan","CIBEUNYING KIDUL",SUKAPADA,62,240,0,0,0,0,0,1244
