NO,NAMA,ALAMAT,JENIS KEGIATAN
49,PT. Kharisma Auto Cemerlang,Jl. Soekarno Hatta No. 67 RT. 05 RW. 09,Perdagangan
50,PT. Putra Citra Lestari,Jl. Soekarno Hatta No. 67 RT. 05 RW. 09,Developer Kontraktor
51,Yayasan Al Munawar,Jl. Cibuntu Barat RT. 05 RW. 01,Pendidikan
52,Apotik Nurkholis Farma,Jl. Holis No. 119 RT. 02 RW 08,Obat-obatan dan Alat Kesehatan
53,CV. Sinar Terang ,Jl. Sumber Asih No. 88 RT. 08 RW. 07,Gudang Tekstil
54,PT. Farin Industri Nusantara,Jl. Nana Rohana No. 59 RT. 07 RW. 01,Perdagangan Jasa
55,PT. Rainbow,Jl. Holis No. 215 RT. 09 RW. 07,Jual beli Krim
56,PT. Multi Global Hasindo,Jl. Holis No. 438 RT. 01 RW. 03,Distributor Produk Plastik
57,PT. Samoja Lestari,Jl. Holis No. 115,Kantor Service Elektronik
58,CV. Ardi Putra Citra Mandiri,Jl. Suryani Dalam I No. 154/83,Konsultan Suplayer
59,CV. Karya Akbar Pratama,Jl. Holis No. 9 RT. 01 RW. 01,Kantor Administrasi
60,PT. Anugerah Putra Wijaya,Jl. Terusan Suryani No. 82 RT. 02 RW. 06,Perdagangan
61,PT. Bank NISP,Jl. Cijerah RT. 01 RW. 05,Perbankan
62,CV. Anugerah Liliwilly,Jl. Cijerah No. 253,Mini Market
63,CV. Jaya Agung Print,Jl. H. Anwar RT. 01 RW. 06,Perdagangan barang dan jasa
64,PT. Ghiga Inti Media,Jl. H. Alpi No. 74,Penyiaran
65,PT. Radio Arzy Swaratama,Jl. Jend. Sudirman No. 74 RT. 08 RW. 01,Penyiaran
66,MAS Istiqomah,Jl. Cijerah No. 151,Pendidikan
67,PT. Teknayasa Konsultindo,Jl. H. Alpi No. 1,Kosultan Teknik dan Manajemen
68,CV. Konveksi Mustika Jaya,Jl. Holis RT. 03 RW. 06,Konveksi Jaket
69,CV. Indah Raya Sentosa,Jl. Cijerah No. 153,Perdagangan Jasa
70,PT. Solusi Prima Conectivities,Jl. Magenta I No. 5 ,Perdagangan
71,PT. Bintang Timur,Jl. Cijerah No. 25 A,Pembuatan Besi baja
72,PT. Reka Buana Karya,Jl. Soekarna Hatta No. 42 A,Perdagangan Jasa
