NO,NAMA PERUSAHAAN,ALAMAT PERUSAHAAN,JENIS USAHA,JUMLAH KARYAWAN,KELURAHAN
1,-,Jl.Sukarasa No.16/143 E RT 01 RW 09,Catering,2 0rang,Cicadas
2,-,Jl.Wiranta Rt 07 RW 09,Bawang Goreng  & Cheestik,2 Orang,Cicadas
3,-,Sukarasa No.96/143 E RT 06 RW 09,Catering & Kue Kering,2 Orang ,Cicadas
4,GEIKO,Gg.BungaVII No.18 Rt 01 RW 11 ,Kreditan Barang ,2 Orang ,Cicadas
5,SAKINAH ,Gg.Jembar III No.5 RT  05 RW 05,Catering dan Alat Pesta ,2 Orang ,Cicadas
6,MEKAR MULYA ,Gg.Moch.Nawawi II RT 02 RW 04,Telur Asin ,2 Orang ,Cicadas
