NO,NAMA LEMBAGA PENDIDIKAN/KURSUS,BIDANG ,PENANGGUNG JAWAB,JUMLAH SISWA,TAHUN DIDIRIKAN,ALAMAT,RT,RW,KELURAHAN
1,B. SMART,PENDIDIKAN UMUM,DIAN RAHMAWATI,20,2009,DUNGUSCARIANG 204/79,04,07,DUNGUSCARIANG
2,LPK RAMA PUTRA,,ACENG,60,2001,JL. NURTANIO NO. 115,05,02,DUNGUSCARIANG
3,PONPES AL ROYYAN,AGAMA,WAWAN ABDUL HAMID,130,2005,JL. ANDIR NO. 195/75,04,08,DUNGUSCARIANG
4,DTA ANNAJAAH,AGAMA,EDI SUWANDI,120,1980,JL. ANDIR GG. MESJID,03,08,DUNGUSCARIANG
5,PRIMAGAMA,PENDIDIKAN UMUM,WATNONONGSIH,,2004,JL. RAYA CIBEUREUM 16,01,01,CAMPAKA
6,BRILLIANT ENGLISH COURSE,BAHASA INGGIS,DEWI MARYANI,,2008,JL. PALEDANG 310,05,02,CAMPAKA
7,TABITA,PENDIDIKAN UMUM,PENDETA WARJONO,,2012,JL. PALEDANG 365,05,02,CAMPAKA
8,KURSUS MENJAHIT,MENJAHIT,SUSAN,,2012,JL. RAYA CIMINDI,06,02,CAMPAKA
