NO,NAMA PERUSAHAAN,ALAMAT PERUSAHAAN,JENIS USAHA,KELURAHAN
1,ACB 164,Jl. PHH. Musthopa No. 164,Konveksi dan Reklame,Padasuka
2,ANIS REKLAME,Jl. Phh. Mustopa No. 166,Reklame & Percetakan,Padasuka
3,DW,Jl. Phh. Mustopa No. 134,Percetakan,Padasuka
4,Ex-SAS,Jl. Phh. Mustopa No. 160A,Konveksi,Padasuka
5,FUJINO REKLAME,Jl. Phh. Mustopa No. 172 C,Reklame & Percetakan,Padasuka
6,ICHA T-SHIRT,Jl. Neglasari Selatan No. 30 RT 06/04,Konveksi & Sablon,Padasuka
7,IZAKU T-SHIRT,Jl. Phh. Mustopa No. 172 B,Konveksi & Sablon,Padasuka
8,JAV STAR,Jl. Phh. Mustopa No. 172 D,Konveksi & Sablon,Padasuka
9,KengKeng Production,Jl. Phh. Mustopa Gg. Setia 8 No. 7A,Percetakan, Konveksi, & Sablon,Padasuka
10,KOES Production,Gg. Setia II No. 30 RT 02/12,Konveksi & Sablon,Padasuka
11,Kopsen Kaos Surapati,Jl. Phh. Mustopa No. 164,Konveksi & Sablon,Padasuka
12,Legimin Sablon,Gg. Setia VI No. 12 RT 08/14,Sablon,Padasuka
13,MIRA,Jl. Phh. Mustopa No. 94,Konveksi & Sablon,Padasuka
14,MUDJI SPORT,Jl. Phh. Mustopa No. 162 - 164,Percetakan, Konveksi, & Sablon,Padasuka
15,NTM,Jl. Phh. Mustopa No. 154,Konveksi,Padasuka
16,RIFKY COLLECTION,Jl. Neglasari Selatan No. 1,Konveksi & Sablon,Padasuka
17,SAS Digital Printing,Jl. Phh. Mustopa No. 114,Percetakan, Konveksi, & Sablon,Padasuka
18,SC Production,Jl. Phh. Mustopa No. 160 C RT 01/04,Konveksi,Padasuka
19,SINAR MULYA,Jl. Phh. Mustopa No. 170,Konveksi & Sablon,Padasuka
20,STAR,Jl. Phh. Mustopa 84 A,Konveksi & Sablon,Padasuka
21,SURYA,Jl. Phh. Mustopa 126,Percetakan, Konveksi, & Sablon,Padasuka
22,TORTO,Jl. Neglasari Selatan Gg. Tamim No. 8,Konveksi,Padasuka
23,UNIQUE,Jl. Phh. Mustopa No. 160 B,Percetakan & Sablon,Padasuka
24,Wa One,Jl. Phh. Mustopa No. 172 RT 03/04,Konveksi,Padasuka
25,YUDHA,Jl. Phh. Mustopa No. 180,Konveksi,Padasuka
