npwp,nama_peserta,jml_partisipasi,jml_menang,persentase_partisipasi,persentase_menang
01.677.930.8-429.000,PT. DWI ELTIS KONSULTAN,90,9,11.8,10
01.555.547.7-429.000,PT. ALOCITA MANDIRI,52,7,6.82,13.46
31.604.229.0-429.000,CV. LEVIANA ABADI,176,6,23.07,3.41
31.642.137.9-424.000,CV PUTRA HERMANSYAH ABADI,155,6,20.31,3.87
21.147.006.7-423.000,CV.ELECTRINDO NUSANTARA,9,5,1.18,55.56
21.048.277.4-421.000,CV. KANDIS,10,5,1.31,50
02.761.242.3-421.000,CV. MISFALAH,20,5,2.62,25
21.077.855.1-421.000,MAHA KARYA NUGRAHA,15,5,1.97,33.33
03.219.764.2-444.000,CV. NAJWAN MANDIRI,29,5,3.8,17.24
01.970.229.9-441.000,PT. TRISAKTI MANUNGGAL PERKASA INTERNASIONAL,17,5,2.23,29.41
03.227.860.8-019.000,PT. BONAULI INDAH BERSINAR,10,5,1.31,50
02.203.512.5-429.000,CV. MEKAR JAYA,19,5,2.49,26.32
01.719.247.7-408.000,CV. TEKNIK PALAPA NUSANTARA,23,5,3.01,21.74
31.753.187.9-422.000,CV.TRI DEWI BUANA,95,5,12.45,5.26
01.455.616.1-441.000,PT. DAYA CIPTA DIANRANCANA,42,5,5.5,11.9
