No.,JENIS PELAYANAN ,JUMLAH YANG DILAYANI ,JUMLAH YANG TIDAK TEPAT WAKTU,JUMLAH YANG TIDAK TEPAT WAKTU
1., Surat Keterangan Tidak Mampu,1714,0,1714
2,Surat Keterangan Miskin,415,0,415
3,Legalisasi,3650,21,3628
4,Domisili Perusahaan,391,7,384
5,Domisili Kelembagaan,74,0,74
