nama_kecamatan,iud_sisa_bulan_lalu,kondom_sisa_bulan_lalu,implant_sisa_bulan_lalu,suntikan_sisa_bulan_lalu,pil_sisa_bulan_lalu,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_sisa_akhir_bulan_ini,kondom_sisa_akhir_bulan_ini,implant_sisa_akhir_bulan_ini,suntikan_sisa_akhir_bulan_ini,pil_sisa_akhir_bulan_ini
Sukasari,74,22,57,110,584,0,48,0,120,100,4,8,6,159,58,70,62,51,71,626
Coblong,106,73,24,177,503,0,36,0,200,0,16,14,1,224,57,90,95,23,153,446
Babakan Ciparay,146,136,22,362,566,0,0,0,0,0,10,7,4,61,87,136,129,18,301,479
Bojongloa Kaler,49,80,12,49,154,25,24,0,140,100,25,25,0,168,65,49,79,12,21,189
Andir,119,112,20,255,437,0,0,0,0,0,9,1,1,48,9,110,111,19,207,428
Cicendo,39,500,0,99,369,25,0,0,40,0,16,25,0,68,14,48,475,0,71,355
Sukajadi,30,0,0,10,0,234,60,60,40,200,153,11,57,40,192,111,49,3,10,8
Cidadap,129,36,7,126,28,25,12,0,20,200,6,0,0,111,37,148,48,7,35,191
Bandung Wetan,62,80.5,16,142,340,25,24,10,40,200,7,6.5,1,107,109,80,98,25,75,431
Astana Anyar,225,169,8,289,535,100,60,0,300,0,92,5,3,344,148,233,224,5,245,387
Regol,76,86,13,271,526,0,0,0,0,0,17,11,1,123,49,59,75,12,148,477
Batununggal,54,32,10,189,436,53,24,0,195,0,46,6,1,201,11,61,50,9,183,425
Lengkong,97,62,36,112,448,0,55,0,200,0,4,8,1,173,40,93,109,35,139,408
Cibeunying Kidul,53,94,95,53,334,0,24,0,140,0,5,6,0,92,61,48,112,95,101,273
Bandung Kulon,60,78,8,427,365,0,0,0,40,0,5,21,0,77,80,55,57,8,390,285
Kiaracondong,38,28,27,40,253,2,24,0,100,0,5,8,1,119,65,35,44,26,21,188
Bojongloa Kidul,26,10,3,103,108,0,0,0,0,0,7,2,0,23,85,19,8,3,80,23
Cibeunying Kaler,20,12,10,70,139,0,0,0,0,0,2,4,0,25,20,18,8,10,45,119
Sumur Bandung,38,73,8,201,367,25,12,0,93,200,3,9,0,107,82,60,76,8,187,485
Antapani,67,78,6,211,247,0,12,0,20,0,1,3,0,126,34,66,87,6,105,213
Bandung Kidul,64,55,8,62,295,10,0,0,40,0,5,9,0,66,64,69,46,8,36,231
Buahbatu,136,67,19,78,256,1,24,3,120,0,8,2,1,154,184,129,89,21,44,72
Rancasari,45,32,0,83,122,0,24,0,100,100,2,9,0,169,129,43,47,0,14,93
Arcamanik,46,73,16,93,210,0,0,0,0,0,6,7,0,57,0,40,66,16,36,210
Cibiru,57,45,19,281,205,4,0,2,173,100,12,11,4,285,153,49,34,17,169,152
Ujung Berung,21,6,0,30,0,0,0,0,0,0,9,4,0,30,0,12,2,0,0,0
Gedebage,55,44,19,143,292,0,0,0,0,0,8,5,0,60,60,47,39,19,83,232
Panyileukan,49,23,10,21,200,0,24,10,100,0,2,12,0,83,120,47,35,20,38,80
Cinambo,168,46,3,262,303,10,12,10,20,0,79,5,0,55,153,99,53,13,227,150
Mandalajati,38,36,5,70,306,25,12,10,120,0,8,0,2,145,56,55,48,13,45,250
