NO,UMUR,WNI PRIA,WNI WANITA,WNA PRIA,WNA WANITA
1,0 - 4,4187,4030,0,0
2,5-9,4031,4104,0,0
3,10-14,4667,4489,0,0
4,15 - 19,5043,4403,0,0
5,20 - 24,4600,4426,0,0
6,25 - 29,4392,4242,0,0
7,30 - 34,3804,3891,0,0
8,35 - 39,3810,3677,0,0
9,40 - 44,3961,3830,0,0
10,45 - 49,3649,3625,0,0
11,50 - 54,2930,2974,3,1
12,55 - 59,2585,2518,0,0
13,60 - 64,1882,1922,0,0
14,65 Keatas,1647,1686,1,1
