bulan,jml_izin_trayek_2014,jml_retribusi_izin_trayek_2014
Januari,112,16800000
Februari,4,600000
Maret,70,10500000
April,55,8250000
Mei,40,6000000
Juni,42,6300000
Juli,40,6250000
Agustus,10,1500000
September,63,9450000
Oktober,85,12750000
November,81,12150000
Desember,72,11250000
