BULAN,Kutipan Akta Perceraian WNI,Kutipan Akta Perceraian WNA
Januari,18,0
Februari,9,0
Maret,15,0
April,18,1
Mei,6,0
Juni,5,0
Juli,12,0
Agustus,5,0
September,7,0
Oktober,13,0
November,14,0
Desember,11,0
