indikator,kecamatan,kelurahan_desa,jumlah_babi,jumlah_kambing,jumlah_kerbau,jumlah_kuda,jumlah_sapi,total_krt
"Aset Ternak",CINAMBO,SUKAMULYA,0,2,0,0,0,360
"Aset Ternak",ARCAMANIK,"CISARANTEN KULON",0,0,2,0,0,1061
"Aset Ternak",ARCAMANIK,"CISARANTEN BINA HARAPAN",0,4,0,0,0,926
"Aset Ternak",ARCAMANIK,SUKAMISKIN,0,0,0,0,0,697
"Aset Ternak",ARCAMANIK,"CISARANTEN ENDAH",0,4,0,0,0,831
"Aset Ternak",ANTAPANI,"ANTAPANI KIDUL",0,0,0,0,0,307
"Aset Ternak",ANTAPANI,"ANTAPANI TENGAH",0,0,0,0,0,749
"Aset Ternak",ANTAPANI,"ANTAPANI WETAN",0,6,0,0,0,761
"Aset Ternak",ANTAPANI,"ANTAPANI KULON",0,0,0,0,0,483
"Aset Ternak",MANDALAJATI,JATIHANDAP,0,0,0,0,0,1276
"Aset Ternak",MANDALAJATI,"KARANG PAMULANG",0,0,0,0,2,1105
"Aset Ternak",MANDALAJATI,"SINDANG JAYA",0,0,0,0,0,561
"Aset Ternak",MANDALAJATI,"PASIR IMPUN",0,21,0,0,0,396
"Aset Ternak",KIARACONDONG,"KEBON KANGKUNG",0,10,0,0,0,768
"Aset Ternak",KIARACONDONG,SUKAPURA,0,14,0,0,0,1792
"Aset Ternak",KIARACONDONG,"KEBUN JAYANTI",0,2,0,0,0,904
"Aset Ternak",KIARACONDONG,"BABAKAN SARI",0,0,0,0,0,1634
"Aset Ternak",KIARACONDONG,"BABAKAN SURABAYA",0,2,0,0,0,1039
"Aset Ternak",KIARACONDONG,CICAHEUM,0,0,0,0,0,905
"Aset Ternak",BATUNUNGGAL,GUMURUH,0,0,0,0,0,823
"Aset Ternak",BATUNUNGGAL,BINONG,0,0,0,0,0,1020
"Aset Ternak",BATUNUNGGAL,"KEBON GEDANG",0,2,0,0,0,586
"Aset Ternak",BATUNUNGGAL,MALEER,0,2,0,0,0,1423
"Aset Ternak",BATUNUNGGAL,CIBANGKONG,0,6,0,0,0,1020
"Aset Ternak",BATUNUNGGAL,SAMOJA,0,2,0,0,0,1019
"Aset Ternak",BATUNUNGGAL,KACAPIRING,0,0,0,0,0,456
"Aset Ternak",BATUNUNGGAL,"KEBON WARU",0,0,1,0,0,841
"Aset Ternak","SUMUR BANDUNG",BRAGA,0,0,0,0,0,189
"Aset Ternak","SUMUR BANDUNG","KEBON PISANG",0,0,0,0,0,296
"Aset Ternak","SUMUR BANDUNG",MERDEKA,0,0,0,0,0,53
"Aset Ternak","SUMUR BANDUNG","BABAKAN CIAMIS",0,0,0,0,0,181
"Aset Ternak",ANDIR,CAMPAKA,0,0,0,0,0,866
"Aset Ternak",ANDIR,MALEBER,0,0,0,0,0,732
"Aset Ternak",ANDIR,GARUDA,0,0,0,0,4,506
"Aset Ternak",ANDIR,"DUNGUS CARIANG",0,1,0,0,0,784
"Aset Ternak",ANDIR,CIROYOM,0,12,0,0,0,1109
"Aset Ternak",ANDIR,"KEBON JERUK",0,2,0,0,0,518
"Aset Ternak",CICENDO,ARJUNA,0,0,0,0,0,204
"Aset Ternak",CICENDO,PASIRKALIKI,0,0,0,0,0,300
"Aset Ternak",CICENDO,PAMOYANAN,0,0,0,0,0,182
"Aset Ternak",CICENDO,PAJAJARAN,0,0,0,0,0,1175
"Aset Ternak",CICENDO,"HUSEN SASTRANEGARA",0,0,0,0,0,859
"Aset Ternak",CICENDO,SUKARAJA,0,3,0,0,0,815
"Aset Ternak","BANDUNG WETAN","TAMAN SARI",0,0,0,0,0,786
"Aset Ternak","BANDUNG WETAN",CITARUM,0,0,0,0,0,25
"Aset Ternak","BANDUNG WETAN",CIHAPIT,0,0,0,0,0,34
"Aset Ternak","CIBEUNYING KIDUL",SUKAMAJU,0,0,0,0,0,421
"Aset Ternak","CIBEUNYING KIDUL",CICADAS,0,0,0,0,4,587
"Aset Ternak","CIBEUNYING KIDUL",CIKUTRA,0,2,0,0,0,1025
"Aset Ternak","CIBEUNYING KIDUL",PADASUKA,0,2,0,0,0,918
"Aset Ternak","CIBEUNYING KIDUL",PASIRLAYUNG,0,20,0,0,0,1066
"Aset Ternak","CIBEUNYING KIDUL",SUKAPADA,0,4,0,0,0,1244
"Aset Ternak","CIBEUNYING KALER",CIHAURGEULIS,0,0,0,0,0,482
"Aset Ternak","CIBEUNYING KALER",SUKALUYU,0,0,0,0,0,497
"Aset Ternak","CIBEUNYING KALER",NEGLASARI,0,0,0,0,0,386
"Aset Ternak","CIBEUNYING KALER",CIGADUNG,0,0,0,0,0,1057
