NO,PENDIDIKAN UMUM DAN MATA PENCAHARIAN TETAP,WNI PRIA,WNI WANITA,WNA PRIA,WNA WANITA
1,Tidak/Belum Sekolah,1956,1808,0,0
2,Tidak tamat SD,816,709,0,0
3,Belum tamat SD,2624,2653,0,0
4,Tamat SD,3494,3455,0,0
5,SLTP,2989,2981,0,0
6,SLTA,3963,3865,0,0
7,Akademi/Sederajat,788,784,1,0
8,Universitas,1029,930,8,4
9,Pegawai Negeri,1991,1465,0,0
10,TNI/POLRI,335,120,0,0
11,Pegawai Swasta,3552,3511,8,0
12,Tani,277,199,0,0
13,Dagang,1802,1640,0,0
14,Pelajar,5523,5458,0,0
15,Mahasiswa,1855,1732,0,0
16,Pensiunan,998,808,0,0
17,Lain-lain,1326,2252,1,4
