NO,NAMA MASJID,ALAMAT MASJID,WAKTU PELAKSANAAN
1,Al- Adha,Jl. Riung Tineung Rt. 01/11 Kel. Cisaranten Kidul,42405
2,Al- Hidayah,Simpang Tiga Derwati Rt. 02/03 Kel. Rancabolang,42412
3,Usman Bin Affan,Griya Cempaka Arum Kel. Rancanumpang,42419
4,As Sholihat,RW. 04 ,42426
5,Abu Bakar Ashshidiq,Griya Cempaka Arum ,42433
6,Al- A’rof,Rancakamurang Rw. 08 Kel.Cisaranten Kidul,42440
7,Al- Kahfi,Adipura I Rw. 05 Kel.Rancabolang ,42447
8,An Nur,Cempaka Arum Blok I Rw 04 Kel. Rancanumpang,42461
9,Al- Arqom,Gedebage Kulon Rw. 07 Kel. Cisaranten Kidul,42468
11,As Salam,Jl. Riung Purna III Rt. 05/11 Kel. Cisaranten Kidul,42482
13,An Nur,Rancabiuk Rw. 04 Kel.Rancabolang,42503
14,Al- Ikhwan,RW 01 Kel.Rancanumpang,42510
16,An Naji’ah,Pesantren An Najiah GCA Kel.Rancanumpang,42524
18,At Taqwa,Babakan Leunca Rw 06 Kel.Cimincrang,42538
20,Al Jihad,Jl. Wirawan Rt. 02/12 Kel.Cisaranten Kidul,42552
22,Nurul Iman,Jl. Gedebage Selatan Rw. 03 Kel. Rancabolang,42573
24,An Nur,Riung Karya Juang Rt.  06/09 Kel. Cisaranten Kidul,42587
25,Husnul Khotimah,Rancapacing Kel.Cisaranten Kidul,42594
27,DKM Adipura V,Adipura V  ,42608
29,DKM SMKN 06,SMKN 06 Riung Bandung  ,42622
31,Al- Maksudi,Masjid Kelurahan Rancabolang,42636
32,Abu Bakar As Sidiq,Komp. Griya Cempaka Arum Kel. Rancanumpang,42643
33,As. Solihat,Masjid Kelurahan Cimincrang,42650
35,Al- Munawaroh,Gedebage Wetan,42664
36,Al- Muhajirin,Jl. Riung Arum Barat Rw. 03 Kel. Cisaranten Kidul,42671
38,Ar Rohmah,Rw. 02 ,42685
40,DKM Buana Soeta,Komp. Buana Soeta,42699
42,Al- Ikhlas,Adipura III Rw. 07 ,42713
