NO,NAMA POSYANDU,ALAMAT POSYANDU,KELURAHAN
1,ANGGREK,GG. IJAN KANTOR RW. 01,PUNGKUR
2,MELATI,GG. KECAMATAN KANTOR RW,PUNGKUR
3,TERATAI,MESJID NURUL ILMI GG. NATAWIJAYA RW. 03,PUNGKUR
4,KEMUNING A,MESJID AL-FALAH JL. NUKIRMAN RW. 04,PUNGKUR
5,KEMUNING B,MESJID AL-FALAH JL. NUKIRMAN,PUNGKUR
6,MAWAR,JL. ASMI NO. 8 RUMAH RW. 05,PUNGKUR
7,CEMPAKA,KANTOR RW. 06 RUANG SERBAGUNA,PUNGKUR
1,SERUMPUN BAMBU,JL. PASIRLUYU RW. 01,PASIRLUYU
2,SEKAR ARUM I,JL. PASIRLUYU RW. 02,PASIRLUYU
3,SEKAR ARUM II,JL. PASIRLUYU RW. 02,PASIRLUYU
4,CATTELLYA I,JL. PASIRLUYU RW. 03,PASIRLUYU
5,CATTELLYA II,JL. PASIRLUYU RW. 03,PASIRLUYU
6,MAWAR I,JL. PASIRLUYU RW. 04,PASIRLUYU
7,MAWAR II,JL. PASIRLUYU RW. 04,PASIRLUYU
8,DELIMA I,JL. PASIRLUYU RW. 05,PASIRLUYU
9,DELIMA II,JL. PASIRLUYU RW. 05,PASIRLUYU
10,DELIMA III,JL. PASIRLUYU RW. 05,PASIRLUYU
11,ANGGREK,JL. PASIR JAYA RW. 06,PASIRLUYU
12,KENANGA,JL. SUKAATI RW. 07,PASIRLUYU
13,NUR'INAYAH I,JL. MENGGER GIRANG RW. 08,PASIRLUYU
14,NUR'INAYAH II,JL. MENGGER GIRANG RW. 08,PASIRLUYU
15,NUR'INAYAH III,JL. MENGGER GIRANG RW. 08,PASIRLUYU
1,GLADIOL 1 A,GG. BABAKAN PRIANGAN III RW. 01,CISEUREUH
2,GLADIOL 1 B,GG. BABAKAN PRIANGAN V RW. 01,CISEUREUH
3,GLADIOL 1 C,GG. BABAKAN PRIANGAN VI RW. 01,CISEUREUH
4,MAWAR,JL. DENKI NO. 24 RW. 02,CISEUREUH
5,MELATI,JL. M. TOHA GG. DUNGUSEMA RW. 03,CISEUREUH
6,CEMPAKA,JL. M. TOHA GG. SURA RW. 04,CISEUREUH
7,DAHLIA A,JL. PLN DALAM RW. 05,CISEUREUH
8,DAHLIA B,JL. M. TOHA GG. AKI AHMAN RW. 05,CISEUREUH
9,DAHLIA C,JL. PLN DALAM RT. 08 RW. 05,CISEUREUH
10,ROSE A,JL. M. TOHA GG. CIBURUY RW. 06,CISEUREUH
11,ROSE B,JL. M. TOHA GG. EMPANG RW. 06,CISEUREUH
12,TULIP,JL. M. TOHA GG. BABAKAN RW. 07 CISEUREUH TIMUR,CISEUREUH
13,ANGGREK,JL. M. TOHA GG. CIBURUY RW. 08,CISEUREUH
1,MELATI,JL. PASUNDAN RW. 01,BALONGGEDE
2,ASTER,JL. DALEM KAUM RW. 02,BALONGGEDE
3,MAWAR,JL. SIMPANG RW. 03,BALONGGEDE
4, BUGENVIL A,JL. PASUNDAN RW. 04,BALONGGEDE
5, ANGGREK B,JL. PASUNDAN RW. 04,BALONGGEDE
6,GLADIOL A,JL. PASUNDAN RW. 05,BALONGGEDE
7,GLADIOL B,JL.PASUNDAN RW. 05,BALONGGEDE
8,KEMUNING,JL. NURSAID RW. 06,BALONGGEDE
9,KENANGA,JL. LENGKONG BESAR RW. 07,BALONGGEDE
1,MELATI,JL. SAWAH KURUNG IV DEPAN NO. 27 RW. 01,CIATEUL
2,SEDAP MALAM,JL. INGGIT GARNASIH RW. 2 (DEPAN SDN.CIATEUL),CIATEUL
3,ANYELIR A,JL. SAWAH KURUNG RAYA RW. 03,CIATEUL
4,CEMPAKA,JL. AKIEL (RUMAH IBU HJ.MAEMUNAH) RW. 4,CIATEUL
5,NUSA INDAH,JL. M. TOHA GG. SEKAR KAGUGAT DEPAN RW. 5,CIATEUL
6,KENANGA,JL. INGGIT GARNASIH RW. 06 RUANG SERBAGUNA RW,CIATEUL
7,DAHLIA A,JL. H. SAYUTI RW. 07,CIATEUL
8,MAWAR B,JL. M. TOHA, KOMP. HUBDAM RW. 07,CIATEUL
9,ANYELIR B,JL. KOTA BARU RAYA UJUNG RW. 08,CIATEUL
10,FLAMBOYAN,JL. TERUSAN SAWAH KURUNG IV SERBAGUNA RW. 09,CIATEUL
1,KENANGA,JL. SRIMAHI II RW. 01,ANCOL
2,DAHLIA,JL. DEWI SRI RW. 02,ANCOL
3,TANJUNG,JL. ANCOL KAWUNG RW. 03,ANCOL
4,ANGGREK,JL. ANCOL TIMUR IV RW. 04,ANCOL
5,MAWAR,JL. TERUSAN SRIMAHI I RW. 05,ANCOL
6,FLAMBOYAN,JL. SRIWENDA RW. 06,ANCOL
7,MELATI,JL. KEMBAR TIMUR V/1 RW. 07,ANCOL
8,BOUGENVILLE,JL. PASIRLUYU RW. 08,ANCOL
9,CEMPAKA,JL. PASIR HUNI RAYA 2A RW. 09,ANCOL
1,FLAMBOYAN,JL. SRI BENTANG NO. 10 RW. 01,CIGERELENG
2,KENANGA,JL. SRI POHACI NO. 22 RW. 02,CIGERELENG
3,ANYELIR,JL. SRI GALIH I NO. 2 RW. 03,CIGERELENG
4,CEMPAKA PUTIH,JL. SILIH ASIH II NO. 89/92 RW. 04,CIGERELENG
5,DAHLIA,GG. RIPAN RW. 05,CIGERELENG
6,SEDAP MALAM,JL. KEMBAR II NO. 2 RW. 06,CIGERELENG
7,MELATI,JL. MADURASA UTARA NO. 4 RW. 07,CIGERELENG
8,NUSA INDAH,JL. KEMBAR SARI INDAH RW. 08,CIGERELENG
9,MAWAR,GG. MOCHAMAD RAMDHAN I RW. 09,CIGERELENG
10,TERATAI,JL. SRIWIJAYA NO. 23 RW. 10,CIGERELENG
