NO,NAMA KELURAHAN,NAMA PUSAT PERBELANJAAN,ALAMAT RT/RW
1,Mekar Mulya,PT. Indomartco Prismatama,Jl. Panghegar Rt.01/06
2,Mekar Mulya,Sumber Alfaria Trijaya,Jl. Mekar Mulya Kav. 2-3 Rt.06
3,Mekar Mulya,Toko Grow Mart,Jl. Pamekar Timur XI No. 1 Rt.07/03
