No,Nama Perusahaan,Alamat Perusahaan,Keterangan
1,BATUNUNGGAL INDAH CLUB,Jalan Batununggal Indah IX No. 2 Bandung,Gelanggang Renang
2,PT. DARIENT SYNERGY ABADI / HANG OUT,Jalan Dr. Djunjunan No. 128 Bandung,Bilyard
3,PT. DARIENT SYNERGY ABADI / HANG OUT,Jalan Aceh No. 66 Bandung,Bilyard
4,SHE SHE BILYARD,Jalan Pasirkaliki No. 16 Bandung,Bilyard
5,CV. PESONA ALAM,Jalan Dr. Setiabudhi No. 293 Bandung,Gelanggang Renang
6,PT. WIGUNA ,Jalan Pelajar Pejuang'45 No. 19 Bandung,Bilyard
7,PT. JIWA ALI,Jalan Dr. Setiabudhi No. 42 Bandung,Fitness
8,EXCLUSIVE JAKARTA BILLIARD,Jalan Jakarta No. 21 Bandung,Bilyard
9,PT.PRIMA SARANA MANUNGGAL,Jalan Belitung No. Bandung,Gelanggang Renang
10,PT.PRIMA SARANA MANUNGGAL,Jalan Belitung No. Bandung,Lapangan Squash
11,PT. DAGO ENDAH,Jalan Lapangan Golf No. 78 Bandung,Lapangan Golf
12,PRATAMA,Jalan Lingkar Selatan Kav.A5-6 Kopo Plaza Bandung,Bilyard
13,092 CIPAMOKOLAN FUTSAL,Jalan Cipamokolan RT.04 RW. 07 Bandung,Futsal
14,F & J COFFE SHOP & BILYARD,Ruko Parahyangan Bisnis Park Blok OP-F/01 Bandung,Bilyard
15,THE POOL,Jalan Surya Sumantri Kav. 6 A Bandung,Bilyard
16,PT. EXERTAINMENT INDONESIA,Jalan Jend. Gatot Subroto No. 289 Bandung,Fitness
17,CV. SARANA OLAH RAGA ES / G. ICE SKATING,Jalan Sukajadi No. 137-139 Bandung,Ice Skating
18,YAYASAN KESEHATAN TELKOM,Jalan Ciliwung No. 21 Bandung,Fitness
19,PT. GRAHA LAYAR PRIMA / BLITZ,Jalan Sukajadi No. 137-139 Bandung PvJ,Bilyard
20,PT. FIT AND HEALT BRAGA,Jalan Braga No. 99-101 Bandung,Fitness
21,PRIMA ABADI BILYARD,Jalan Suniaraja No. 2B Bandung,Bilyard
22,PRIMA ABADI ,Jalan Braga No. 117 Bandung,Bilyard
23,CV. Z E P,Jalan Lengkong Besar No. 18 A Bandung,Bilyard
24,PT. PANGHEGAR MITRA ABADI,Blok Mengger Tengah RT. 005 RW. 001 Bandung,Gelanggang Renang
25,AMBASADOR BILYARD,Jalan Dalem Kaum No. 27 Bandung,Bilyard
26,SENATOR / SENTRAL,Jalan Braga No. 105 Bandung,Bilyard
27,MANHATTAN II,Jalan Sunda No. 40 Bandung,Bilyard
28,LAMBADA,Jalan Astanaanyar No. 5-7 Bandung,Bilyard
29,PT. METROPOLITAN HORISON DEVELOPMENT,Jalan Pelajar Pejuang 45 No. 121 Bandung,Fitness dan Gelanggang Renang
30,PT. DAGO ENDAH,Jalan Lapangan Golf No. 78 Bandung,Lapangan Golf
31,GRAHA MANGLAYANG,Jalan Pasir wangi RT. 03 RW.04 Bandung,Futsal
32,CV. MULTI MITRA JAYA ABADI,Jalan Ters. Jalan Jakarta No. 2 Lucky Square Bandung,Bilyard
33,PT. PANGHEGAR MITRA ABADI,Jalan SoekarnoHatta No. 21/27 Bandung,Gelanggang Olah Raga
