NO,LOKASI,SUMBER ANGGARAN,JUMLAH PEMBUATAN  BIOPORI TAHUN 2015,WAKTU    PEMBUATAN
1,Kelurahan Sukamiskin,Masyarakat,1500,Desember 2015
2,Kelurahan Cisaranten Binaharapan,Masyarakat,734,Desember 2015
3,Cisaranten Kulon,Masyarakat,1289,Desember 2015
4,Cisaranten Endah,Masyarakat,2197,Desember 2015
,JUMLAH,,5720,
