NO,NAMA POSYANDU,ALAMAT POSYANDU,TINGKATAN STRATA
1.,Tulip,Rancanumpang Rt. 01 Rw. 01,Purnama
2.,Edelwise,Babakan Negla Mulyani Rt. 01 Rw. 02,Madya
3.,Anggrek,Komp. Pitaloka Rt. 01 Rw. 03,Mandiri
4.,Dahlia,Griya Cempaka Arum Rt. 02 Rw. 04,Mandiri
5.,Bugenvile,Griya Cempaka Arum Rt. 04 Rw. 05,Mandiri
6.,Cempaka,Griya Cempaka Arum Blok M.11/78,Mandiri
7.,Mawar,Griya Cempaka Arum M.2 NO.20,Purnama
8.,Kenanga,Griya Cempaka Arum B.5 NO. 24,Purnama
