No,Kelurahan,Jumlah Penduduk Awal Pria ,Jumlah Penduduk Awal Wanita,Lahir Pria,Lahir Wanita,Mati Pria,Mati Wanita,Pindah Pria,Pindah Wanita,Datang Pria,Datang Wanita
1,CIKUTRA,11173,11278,7,9,11,3,29,23,24,21
2,SUKAPADA,10274,9169,11,14,8,2,37,38,30,28
3,PADASUKA,7235,7334,6,3,5,1,17,18,16,
4,PASIRLAYUNG,10010,9451,6,8,9,2,21,24,26,22
5,CICADAS,7424,7383,51,47,17,16,131,105,124,120
6,SUKAMAJU,5042,5152,4,6,3,3,17,15,28,21
