NO.,KELURAHAN,RW,PRA-KS,KS-I ALEK,BLT,RASKIN,BAWAKU,RUKUM
1,ANCOL,01,2,15,15,11,4,-
2,ANCOL,02,5,45,5,14,1,-
3,ANCOL,03,7,55,4,29,4,-
4,ANCOL,04,13,115,8,86,9,-
5,ANCOL,05,4,35,15,39,4,-
6,ANCOL,06,2,20,8,27,3,1
7,ANCOL,07,5,67,10,55,3,-
8,ANCOL,08,12,120,26,65,2,-
9,ANCOL,09,15,160,57,128,10,2
